,t (GeV2),xB,Q2 (GeV2),AC_cos(0φ),stat. error,syst. error,AC_cosφ,stat. error.1,syst. error.1,"AUT,DVCS_sin(φ-φS)",stat. error.2,syst. error.2,"AUT,I_sin(φ-φS)",stat. error.3,syst. error.3,"AUT,I_sin(φ-φS)cosφ",stat. error.4,syst. error.4,"AUT,I_cos(φ-φS)sinφ",stat. error.5,syst. error.5
0,0.12,0.09,2.5,−0.011,0.01,0.017,0.043,0.014,0.015,−0.073,0.024,0.008,0.035,0.024,0.024,−0.164,0.039,0.023,0.005,0.04,0.015
1,0.03,0.08,1.9,0.010 ,0.016,0.01,−0.003,0.022,0.012,−0.070,0.041,0.009,−0.030,0.031,0.008,−0.152,0.068,0.026,−0.100,0.069,0.044
2,0.1,0.1,2.5,−0.006,0.019,0.017,0.015,0.026,0.011,−0.067,0.043,0.017,0.022,0.044,0.021,−0.073,0.068,0.008,0.054,0.076,0.03
3,0.2,0.11,2.9,−0.026,0.022,0.018,0.120,0.03,0.012,−0.066,0.05,0.011,0.133,0.05,0.025,−0.244,0.078,0.028,0.144,0.083,0.02
4,0.42,0.12,3.5,−0.074,0.036,0.024,0.163,0.052,0.007,−0.153,0.08,0.015,0.085,0.082,0.028,−0.294,0.126,0.026,0.024,0.113,0.029
5,0.1,0.05,1.5,−0.006,0.017,0.009,0.051,0.024,0.008,−0.008,0.051,0.008,0.083,0.051,0.021,−0.166,0.084,0.047,−0.034,0.081,0.025
6,0.1,0.08,2.2,−0.027,0.019,0.014,0.032,0.027,0.012,−0.079,0.049,0.01,0.037,0.048,0.021,−0.148,0.078,0.034,−0.078,0.08,0.015
7,0.13,0.12,3.1,0.000 ,0.022,0.014,0.037,0.03,0.011,−0.105,0.047,0.013,−0.033,0.048,0.021,−0.100,0.072,0.02,0.078,0.073,0.025
8,0.2,0.2,5.0,−0.003,0.029,0.021,0.029,0.039,0.022,−0.201,0.058,0.027,0.048,0.055,0.024,−0.182,0.084,0.026,0.066,0.088,0.056
9,0.08,0.06,1.2,−0.014,0.019,0.016,0.025,0.026,0.011,0.044,0.056,0.012,0.117,0.056,0.024,−0.174,0.092,0.047,−0.034,0.093,0.018
10,0.1,0.08,1.9,−0.004,0.018,0.016,0.070,0.026,0.015,−0.080,0.046,0.01,−0.043,0.046,0.026,−0.170,0.073,0.031,−0.036,0.079,0.02
11,0.13,0.11,2.8,−0.023,0.021,0.015,0.058,0.03,0.008,−0.113,0.049,0.012,0.066,0.049,0.028,−0.249,0.078,0.025,0.028,0.076,0.026
12,0.19,0.17,4.9,−0.003,0.023,0.016,0.005,0.032,0.014,−0.143,0.048,0.015,−0.002,0.049,0.02,−0.059,0.072,0.011,0.056,0.079,0.035
