,φ (degrees),Q2 ((GeV/c)2),A,δA
0,1.5,1.22,-0.0051,0.0056
1,6.5,1.22,0.0289,0.0139
2,22.5,1.22,0.0794,0.0221
3,52.5,1.22,0.1427,0.0381
4,102.5,1.22,0.2028,0.0589
5,180.0,1.22,0.0227,0.1062
6,257.5,1.22,-0.1394,0.0582
7,307.5,1.22,-0.1662,0.0431
8,337.5,1.22,-0.0862,0.0203
9,353.5,1.22,-0.0147,0.0135
10,358.5,1.22,-0.0032,0.0063
11,1.5,1.51,0.0007,0.0055
12,6.5,1.51,-0.0005,0.0134
13,22.5,1.51,0.066,0.0196
14,52.5,1.51,0.1826,0.0322
15,102.5,1.51,0.208,0.0475
16,180.0,1.51,0.0703,0.1146
17,257.5,1.51,-0.2592,0.0539
18,307.5,1.51,-0.2173,0.0337
19,337.5,1.51,-0.0631,0.0185
20,353.5,1.51,0.013,0.0129
21,358.5,1.51,-0.0001,0.0058
22,1.5,2.04,0.0021,0.006
23,6.5,2.04,0.0315,0.0154
24,22.5,2.04,0.1054,0.0217
25,52.5,2.04,0.1544,0.0454
26,102.5,2.04,0.2237,0.075
27,180.0,2.04,0.0071,0.1307
28,257.5,2.04,-0.1471,0.0906
29,307.5,2.04,-0.1451,0.0463
30,337.5,2.04,-0.0643,0.022
31,353.5,2.04,-0.0308,0.0158
32,358.5,2.04,0.0006,0.0063
