,δ (degrees),t ((GeV/c)2),A,δA
0,1.5,0.19,0.0014,0.0102
1,6.5,0.19,0.0449,0.0219
2,22.5,0.19,0.0298,0.026
3,52.5,0.19,0.1354,0.0402
4,102.5,0.19,0.2361,0.0503
5,180.0,0.19,-0.0858,0.1092
6,257.5,0.19,-0.2164,0.0533
7,307.5,0.19,-0.2105,0.0389
8,337.5,0.19,-0.0691,0.0253
9,353.5,0.19,0.0111,0.0218
10,358.5,0.19,0.0075,0.011
11,1.5,0.3,-0.0002,0.0071
12,6.5,0.3,0.0024,0.0185
13,22.5,0.3,0.1143,0.0266
14,52.5,0.3,0.1871,0.0503
15,102.5,0.3,0.1191,0.0906
16,180.0,0.3,0.1608,0.1994
17,257.5,0.3,-0.0513,0.121
18,307.5,0.3,-0.1756,0.0548
19,337.5,0.3,-0.0594,0.026
20,353.5,0.3,0.001,0.0179
21,358.5,0.3,-0.0035,0.0076
22,1.5,0.46,0.0141,0.0049
23,6.5,0.46,0.0209,0.0131
24,22.5,0.46,0.0969,0.0204
25,52.5,0.46,0.1998,0.045
26,102.5,0.46,0.2461,0.0984
27,180.0,0.46,0.0629,0.1908
28,257.5,0.46,-0.328,0.1797
29,307.5,0.46,-0.1679,0.0515
30,337.5,0.46,-0.0653,0.0194
31,353.5,0.46,-0.0377,0.0129
32,358.5,0.46,0.0045,0.0053
