,t (GeV2),W (GeV),Q2 (GeV2),σ (nb),stat. error,syst. error,δ,stat. error.1,syst. error.1
0,< 1,45,8.0,3.06,0.18,0.25,0.61,0.1,0.15
1,< 1,70,8.0,3.54,0.29,0.34,0.61,0.1,0.15
2,< 1,90,8.0,4.93,0.39,0.52,0.61,0.1,0.15
3,< 1,110,8.0,5.16,0.51,0.74,0.61,0.1,0.15
4,< 1,130,8.0,5.62,1.34,1.19,0.61,0.1,0.15
5,< 1,45,15.5,0.98,0.07,0.08,0.61,0.13,0.15
6,< 1,70,15.5,1.46,0.12,0.12,0.61,0.13,0.15
7,< 1,90,15.5,1.41,0.16,0.17,0.61,0.13,0.15
8,< 1,110,15.5,1.66,0.23,0.28,0.61,0.13,0.15
9,< 1,130,15.5,2.0,0.37,0.47,0.61,0.13,0.15
10,< 1,45,25.0,0.31,0.11,0.05,0.9,0.36,0.27
11,< 1,70,25.0,0.52,0.08,0.06,0.91,0.36,0.27
12,< 1,90,25.0,0.81,0.13,0.09,0.92,0.36,0.27
13,< 1,110,25.0,0.63,0.17,0.15,0.93,0.36,0.27
14,< 1,130,25.0,0.8,0.26,0.29,0.94,0.36,0.27
