,t (GeV2),xB,Q2 (GeV2),"ALU,I_sinφ",stat. error,syst. error,"ALU,DVCS_sinφ",stat. error.1,syst. error.1,"ALU,I_sin(2φ)",stat. error.2,syst. error.2
0,−0.12,0.1,2.46,−0.224,0.028,0.02,0.043,0.028,0.004,−0.035,0.028,0.002
1,−0.02,0.07,1.71,−0.225,0.062,0.01,0.095,0.062,0.007,0.057,0.061,0.006
2,−0.04,0.09,2.22,−0.231,0.063,0.016,0.091,0.062,0.01,−0.039,0.061,0.012
3,−0.08,0.1,2.44,−0.193,0.069,0.009,−0.051,0.069,0.011,−0.063,0.068,0.006
4,−0.14,0.11,2.72,−0.249,0.059,0.013,0.020,0.058,0.008,−0.041,0.058,0.012
5,−0.26,0.12,3.13,−0.256,0.08,0.013,0.126,0.079,0.015,−0.065,0.08,0.013
6,−0.46,0.12,3.63,−0.158,0.115,0.013,−0.101,0.114,0.01,−0.201,0.116,0.025
7,−0.10,0.05,1.34,−0.248,0.06,0.067,0.087,0.059,0.011,−0.028,0.059,0.008
8,−0.09,0.07,1.78,−0.191,0.059,0.034,0.023,0.058,0.007,0.011,0.057,0.003
9,−0.11,0.09,2.3,−0.215,0.069,0.018,0.026,0.069,0.014,0.046,0.068,0.018
10,−0.12,0.11,2.92,−0.248,0.071,0.032,0.033,0.071,0.016,−0.039,0.072,0.01
11,−0.16,0.16,4.04,−0.244,0.077,0.023,0.066,0.077,0.016,−0.229,0.076,0.012
12,−0.23,0.24,6.11,−0.040,0.139,0.005,−0.196,0.137,0.048,−0.138,0.132,0.022
13,−0.08,0.05,1.2,−0.247,0.059,0.055,0.078,0.059,0.01,−0.034,0.058,0.005
14,−0.10,0.07,1.59,−0.151,0.067,0.042,0.034,0.067,0.016,0.042,0.066,0.004
15,−0.11,0.08,2.08,−0.230,0.064,0.031,0.052,0.064,0.013,−0.047,0.062,0.009
16,−0.13,0.1,2.77,−0.425,0.068,0.041,0.212,0.068,0.015,0.034,0.07,0.011
17,−0.15,0.13,3.76,−0.103,0.076,0.04,−0.097,0.075,0.012,−0.116,0.076,0.003
18,−0.22,0.2,5.75,−0.129,0.094,0.008,−0.125,0.093,0.013,−0.161,0.092,0.009
