,t (GeV2),xB,Q2 (GeV2),AC_cos(0φ),stat. error,syst. error,AC_cosφ,stat. error.1,syst. error.1,AC_cos(2φ),stat. error.2,syst. error.2,AC_cos(3φ),stat. error.3,syst. error.3
0,−0.12,0.1,2.46,−0.020,0.006,0.008,0.055,0.009,0.004,−0.002,0.009,0.013,−0.004,0.009,0.006
1,−0.02,0.07,1.71,−0.027,0.014,0.009,0.018,0.02,0.004,0.008,0.02,0.008,0.01,0.02,0.001
2,−0.04,0.09,2.22,0.001,0.014,0.003,−0.007,0.02,0.004,−0.004,0.02,0.013,0.004,0.02,0.005
3,−0.08,0.1,2.44,0.003,0.015,0.011,0.022,0.022,0.011,0.022,0.022,0.013,−0.015,0.022,0.009
4,−0.14,0.11,2.72,−0.018,0.013,0.013,0.067,0.018,0.012,−0.038,0.018,0.021,−0.019,0.018,0.004
5,−0.26,0.12,3.13,−0.034,0.018,0.006,0.160,0.025,0.019,0.018,0.025,0.042,−0.005,0.025,0.015
6,−0.46,0.12,3.63,−0.056,0.029,0.009,0.235,0.043,0.051,0.041,0.04,0.025,0.037,0.038,0.02
7,−0.10,0.05,1.34,−0.043,0.014,0.014,0.035,0.021,0.011,0.004,0.019,0.007,0.04,0.018,0.003
8,−0.09,0.07,1.78,−0.014,0.013,0.007,0.043,0.019,0.012,−0.046,0.019,0.012,−0.026,0.019,0.001
9,−0.11,0.09,2.3,−0.048,0.016,0.014,0.064,0.022,0.024,0.033,0.022,0.019,−0.005,0.022,0.011
10,−0.12,0.11,2.92,0.01,0.017,0.009,0.018,0.024,0.002,0.024,0.023,0.004,−0.035,0.023,0.005
11,−0.16,0.16,4.04,−0.012,0.018,0.012,0.088,0.025,0.032,0.007,0.025,0.001,−0.006,0.024,0.009
12,−0.23,0.24,6.11,0.04,0.032,0.029,0.041,0.045,0.014,0.014,0.045,0.026,−0.076,0.044,0.014
13,−0.08,0.05,1.2,−0.041,0.013,0.021,0.048,0.018,0.031,0.018,0.018,0.01,0.046,0.018,0.006
14,−0.10,0.07,1.59,−0.033,0.015,0.02,0.063,0.021,0.015,−0.035,0.021,0.016,−0.027,0.021,0.004
15,−0.11,0.08,2.08,−0.012,0.015,0.014,0.049,0.02,0.013,−0.023,0.021,0.005,−0.023,0.02,0.011
16,−0.13,0.1,2.77,−0.025,0.016,0.006,0.050,0.023,0.008,0.021,0.022,0.019,−0.001,0.023,0.014
17,−0.15,0.13,3.76,0.021,0.018,0.009,0.050,0.025,0.002,−0.009,0.025,0.015,−0.051,0.025,0.001
18,−0.22,0.2,5.75,−0.001,0.021,0.014,0.053,0.03,0.054,0.029,0.03,0.006,−0.002,0.03,0.011
