,t (GeV2),xB,Q2 (GeV2),AC_cos(0φ),stat. error,syst. error,AC_cosφ,stat. error.1,syst. error.1,AC_cos(2φ),stat. error.2,syst. error.2,AC_cos(3φ),stat. error.3,syst. error.3,Unnamed: 15
0,−0.02,0.06,1.47,−0.026,0.017,0.016,−0.005,0.023,0.006,−0.017,0.023,0.012,0.002,0.023,0.008,
1,−0.04,0.06,1.56,0.011,0.021,0.012,0.032,0.028,0.006,−0.036,0.029,0.008,−0.004,0.029,0.002,
2,−0.08,0.06,1.55,−0.008,0.024,0.028,0.007,0.034,0.007,0.024,0.033,0.02,0.025,0.033,0.025,
3,−0.14,0.06,1.57,−0.041,0.022,0.034,0.050,0.032,0.006,−0.051,0.031,0.023,0.002,0.03,0.006,
4,−0.26,0.06,1.69,0.006,0.049,0.022,0.241,0.084,0.033,0.094,0.069,0.051,0.095,0.052,0.025,
5,−0.46,0.05,1.78,0.196,0.196,0.068,0.710,0.328,0.134,0.302,0.242,0.06,0.146,0.126,0.035,`
6,−0.02,0.09,2.32,−0.021,0.029,0.021,0.065,0.042,0.039,0.066,0.041,0.01,0.028,0.04,0.018,
7,−0.04,0.1,2.5,−0.001,0.025,0.01,−0.041,0.037,0.004,0.062,0.036,0.02,0.032,0.035,0.014,
8,−0.08,0.1,2.43,0.033,0.028,0.021,0.050,0.039,0.006,0.043,0.039,0.014,−0.003,0.04,0.004,
9,−0.14,0.1,2.51,−0.022,0.025,0.026,0.073,0.035,0.016,−0.036,0.035,0.016,−0.051,0.034,0.005,
10,−0.26,0.1,2.74,−0.045,0.035,0.037,0.170,0.049,0.009,0.009,0.048,0.023,−0.079,0.049,0.021,
11,−0.47,0.1,3.25,−0.118,0.081,0.02,0.137,0.137,0.051,0.041,0.117,0.024,−0.047,0.101,0.021,
12,−0.03,0.13,2.91,−0.181,0.081,0.028,0.297,0.126,0.06,0.161,0.11,0.046,−0.010,0.118,0.016,
13,−0.05,0.15,3.62,0.029,0.036,0.016,−0.104,0.054,0.016,0.014,0.051,0.011,−0.075,0.049,0.005,
14,−0.08,0.16,3.93,−0.006,0.032,0.004,−0.000,0.045,0.056,0.014,0.046,0.006,−0.101,0.044,0.008,
15,−0.14,0.17,4.3,0.021,0.025,0.02,0.041,0.036,0.017,−0.007,0.035,0.015,−0.036,0.035,0.006,
16,−0.26,0.18,4.76,−0.015,0.031,0.004,0.136,0.043,0.027,0.038,0.042,0.013,−0.022,0.042,0.008,
17,−0.46,0.19,5.52,−0.026,0.042,0.031,0.199,0.059,0.017,0.03,0.057,0.034,0.095,0.057,0.063,
