,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,0.115,0.096,2.459,,−0.073 ± 0.032 ± 0.007,−0.106 ± 0.032 ± 0.008,0.015 ± 0.032 ± 0.009
1,0.031,0.079,1.982,,−0.008 ± 0.051 ± 0.012,−0.060 ± 0.050 ± 0.007,0.024 ± 0.049 ± 0.005
2,0.094,0.103,2.531,,−0.085 ± 0.057 ± 0.017,−0.110 ± 0.059 ± 0.018,−0.016 ± 0.059 ± 0.009
3,0.201,0.11,2.883,,−0.169 ± 0.070 ± 0.007,−0.154 ± 0.069 ± 0.008,0.020 ± 0.069 ± 0.016
4,0.408,0.123,3.587,,−0.138 ± 0.109 ± 0.017,−0.191 ± 0.116 ± 0.021,0.014 ± 0.115 ± 0.017
5,0.096,0.054,1.437,,−0.003 ± 0.053 ± 0.008,−0.045 ± 0.053 ± 0.004,0.031 ± 0.053 ± 0.004
6,0.099,0.084,2.115,,−0.134 ± 0.064 ± 0.008,−0.228 ± 0.064 ± 0.007,−0.077 ± 0.060 ± 0.009
7,0.123,0.121,3.108,,−0.039 ± 0.070 ± 0.007,−0.051 ± 0.069 ± 0.015,0.080 ± 0.069 ± 0.013
8,0.188,0.198,4.934,,−0.195 ± 0.093 ± 0.018,−0.056 ± 0.089 ± 0.052,0.101 ± 0.090 ± 0.012
9,0.085,0.056,1.236,,−0.043 ± 0.059 ± 0.004,−0.093 ± 0.059 ± 0.007,0.016 ± 0.058 ± 0.006
10,0.098,0.079,1.862,,−0.079 ± 0.060 ± 0.007,−0.149 ± 0.061 ± 0.007,−0.036 ± 0.060 ± 0.007
11,0.123,0.108,2.829,,−0.111 ± 0.068 ± 0.007,−0.042 ± 0.067 ± 0.009,0.059 ± 0.066 ± 0.009
12,0.178,0.17,4.865,,−0.054 ± 0.071 ± 0.008,−0.130 ± 0.074 ± 0.019,0.034 ± 0.074 ± 0.010
