,Column1,Column2,t,xB,Q^2,A_{C}^{cos(0φ)} ± δ_{stat.} ± δ_{syst.},A_{C}^{cos φ} ± δ_{stat.} ± δ_{syst.},A_{C}^{cos(2φ)} ± δ_{stat.} ± δ_{syst.},A_{C}^{cos(3φ)} ± δ_{stat.} ± δ_{syst.}
0,,,[GeV^{2} ],,[GeV^{2} ],,,,
1,,overall,0.117,0.097,2.52,-0.024 ± 0.004 ± 0.011,0.032 ± 0.006 ± 0.002,-0.004 ± 0.005 ± 0.014,0.001 ± 0.005 ± 0.004
2,,0.00-0.03,0.018,0.068,1.72,-0.014 ± 0.009 ± 0.007,0.006 ± 0.012 ± 0.003,-0.038 ± 0.012 ± 0.001,-0.022 ± 0.012 ± 0.004
3,t [GeV^{2} ],0.03-0.06,0.043,0.088,2.26,-0.008 ± 0.009 ± 0.006,0.016 ± 0.012 ± 0.014,-0.004 ± 0.012 ± 0.007,0.003 ± 0.012 ± 0.005
4,,0.06-0.10,0.078,0.099,2.51,-0.025 ± 0.009 ± 0.007,0.030 ± 0.013 ± 0.013,0.011 ± 0.012 ± 0.013,-0.028 ± 0.012 ± 0.004
5,,0.10-0.20,0.142,0.11,2.79,-0.019 ± 0.008 ± 0.010,0.036 ± 0.012 ± 0.014,0.007 ± 0.011 ± 0.025,0.019 ± 0.011 ± 0.001
6,,0.20-0.35,0.26,0.121,3.27,-0.042 ± 0.011 ± 0.004,0.078 ± 0.016 ± 0.029,-0.016 ± 0.015 ± 0.040,0.023 ± 0.015 ± 0.001
7,,0.35-0.70,0.46,0.125,3.82,-0.083 ± 0.016 ± 0.005,0.069 ± 0.025 ± 0.061,0.052 ± 0.022 ± 0.040,0.030 ± 0.021 ± 0.017
8,,0.03-0.06,0.095,0.049,1.34,-0.038 ± 0.009 ± 0.013,0.007 ± 0.013 ± 0.013,-0.026 ± 0.012 ± 0.013,-0.015 ± 0.011 ± 0.003
9,,0.06-0.08,0.091,0.069,1.8,-0.046 ± 0.008 ± 0.012,0.025 ± 0.012 ± 0.013,-0.001 ± 0.011 ± 0.009,-0.003 ± 0.011 ± 0.005
10,xB,0.08-0.10,0.104,0.089,2.3,-0.004 ± 0.010 ± 0.016,0.033 ± 0.014 ± 0.019,-0.013 ± 0.013 ± 0.017,-0.013 ± 0.013 ± 0.002
11,,0.10-0.13,0.121,0.113,2.93,-0.025 ± 0.010 ± 0.015,0.035 ± 0.014 ± 0.002,-0.015 ± 0.013 ± 0.006,0.001 ± 0.013 ± 0.009
12,,0.13-0.20,0.159,0.157,4.06,-0.012 ± 0.011 ± 0.007,0.029 ± 0.015 ± 0.031,-0.003 ± 0.014 ± 0.001,0.016 ± 0.014 ± 0.005
13,,0.20-0.35,0.231,0.244,6.14,-0.009 ± 0.018 ± 0.026,0.060 ± 0.026 ± 0.018,0.069 ± 0.024 ± 0.027,0.043 ± 0.024 ± 0.009
14,,1.00-1.40,0.076,0.054,1.2,-0.046 ± 0.008 ± 0.023,0.021 ± 0.012 ± 0.028,-0.020 ± 0.011 ± 0.012,-0.014 ± 0.011 ± 0.004
15,Q^2 [GeV^{2} ],1.40-1.80,0.089,0.069,1.59,-0.018 ± 0.009 ± 0.021,0.032 ± 0.013 ± 0.020,-0.011 ± 0.012 ± 0.012,0.001 ± 0.012 ± 0.002
16,,1.80-2.40,0.104,0.085,2.08,-0.039 ± 0.009 ± 0.022,0.016 ± 0.012 ± 0.017,-0.008 ± 0.012 ± 0.013,0.018 ± 0.012 ± 0.004
17,,2.40-3.20,0.126,0.105,2.77,-0.016 ± 0.010 ± 0.019,0.068 ± 0.014 ± 0.020,0.006 ± 0.013 ± 0.013,-0.022 ± 0.013 ± 0.009
18,,3.20-4.50,0.151,0.134,3.76,0.002 ± 0.011 ± 0.014,0.010 ± 0.015 ± 0.002,-0.008 ± 0.014 ± 0.015,0.014 ± 0.014 ± 0.002
19,,4.50-10.0,0.218,0.2,5.82,-0.003 ± 0.013 ± 0.014,0.037 ± 0.018 ± 0.038,0.042 ± 0.017 ± 0.003,0.010 ± 0.017 ± 0.005
