,Column1,Column2,Column3,t,xB,Q^2,"A_{LU,I}^{sinφ} ± δ_{stat.} ± δ_{syst.}","A_{LU,DVCS}^{sinφ} ± δ_{stat.} ± δ_{syst.}","A_{LU,I}^{sin(2φ)} ± δ_{stat.} ± δ_{syst.}"
0,,,,[GeV^{2} ],,[GeV^{2} ],,,
1,,,0.00-0.03,0.018,0.058,1.473,-0.253 ± 0.046 ± 0.019,0.092 ± 0.046 ± 0.008,-0.039 ± 0.046 ± 0.014
2,t [GeV^{2} ],0.03 <x_{B} < 0.08,0.03-0.06,0.043,0.06,1.558,-0.188 ± 0.058 ± 0.024,-0.021 ± 0.058 ± 0.007,0.074 ± 0.057 ± 0.007
3,,,0.06-0.10,0.078,0.06,1.567,-0.241 ± 0.069 ± 0.018,-0.013 ± 0.069 ± 0.004,-0.034 ± 0.068 ± 0.012
4,,,0.10-0.20,0.142,0.06,1.576,-0.261 ± 0.062 ± 0.020,-0.015 ± 0.062 ± 0.006,0.025 ± 0.062 ± 0.009
5,,,0.20-0.35,0.259,0.057,1.701,-0.284 ± 0.087 ± 0.014,0.145 ± 0.088 ± 0.006,-0.041 ± 0.091 ± 0.010
6,,,0.35-0.70,0.465,0.054,1.819,-0.126 ± 0.147 ± 0.008,-0.120 ± 0.147 ± 0.053,-0.115 ± 0.159 ± 0.016
7,,,0.00-0.03,0.022,0.095,2.311,-0.163 ± 0.078 ± 0.008,-0.063 ± 0.079 ± 0.003,0.096 ± 0.079 ± 0.016
8,t [GeV^{2} ],0.08 <x_{B} < 0.12,0.03-0.06,0.044,0.098,2.501,-0.302 ± 0.069 ± 0.008,0.053 ± 0.070 ± 0.007,-0.024 ± 0.068 ± 0.002
9,,,0.06-0.10,0.079,0.098,2.462,-0.187 ± 0.078 ± 0.007,0.003 ± 0.078 ± 0.007,-0.049 ± 0.078 ± 0.007
10,,,0.10-0.20,0.142,0.098,2.484,-0.237 ± 0.068 ± 0.005,0.009 ± 0.068 ± 0.010,-0.053 ± 0.068 ± 0.019
11,,,0.20-0.35,0.258,0.099,2.736,-0.280 ± 0.099 ± 0.003,0.077 ± 0.100 ± 0.005,-0.031 ± 0.101 ± 0.023
12,,,0.35-0.70,0.459,0.099,3.211,-0.278 ± 0.151 ± 0.010,-0.025 ± 0.152 ± 0.014,0.150 ± 0.163 ± 0.007
13,,,0.00-0.03,0.026,0.13,2.954,-0.238 ± 0.238 ± 0.066,0.006 ± 0.237 ± 0.052,0.275 ± 0.239 ± 0.041
14,t [GeV^{2} ],0.12 <x_{B} < 0.35,0.03-0.06,0.046,0.145,3.629,-0.235 ± 0.091 ± 0.009,0.037 ± 0.092 ± 0.008,0.006 ± 0.094 ± 0.009
15,,,0.06-0.10,0.08,0.16,3.942,-0.086 ± 0.085 ± 0.011,-0.031 ± 0.085 ± 0.003,0.058 ± 0.083 ± 0.007
16,,,0.10-0.20,0.145,0.174,4.309,-0.248 ± 0.067 ± 0.004,0.029 ± 0.068 ± 0.002,-0.004 ± 0.066 ± 0.007
17,,,0.20-0.35,0.263,0.184,4.799,-0.283 ± 0.085 ± 0.025,0.133 ± 0.085 ± 0.010,-0.061 ± 0.082 ± 0.005
18,,,0.35-0.70,0.46,0.194,5.621,-0.117 ± 0.117 ± 0.046,-0.200 ± 0.117 ± 0.024,-0.218 ± 0.110 ± 0.048
