,Column1,Column2,Column3,t,xB,Q^2,A_{C}^{cos(0φ)} ± δ_{stat.} ± δ_{syst.},A_{C}^{cos φ} ± δ_{stat.} ± δ_{syst.},A_{C}^{cos(2φ)} ± δ_{stat.} ± δ_{syst.},A_{C}^{cos(3φ)} ± δ_{stat.} ± δ_{syst.}
0,,,,[GeV^{2} ],,[GeV^{2} ],,,,
1,,,0.00-0.03,0.018,0.058,1.473,-0.031 ± 0.008 ± 0.006,-0.013 ± 0.016 ± 0.002,-0.032 ± 0.012 ± 0.004,-0.016 ± 0.012 ± 0.003
2,t [GeV^{2} ],0.03 <x_{B} < 0.08,0.03-0.06,0.043,0.06,1.558,-0.007 ± 0.015 ± 0.008,0.019 ± 0.015 ± 0.012,-0.019 ± 0.015 ± 0.010,0.013 ± 0.015 ± 0.005
3,,,0.06-0.10,0.078,0.06,1.567,-0.025 ± 0.012 ± 0.017,0.007 ± 0.017 ± 0.004,0.010 ± 0.017 ± 0.018,-0.014 ± 0.017 ± 0.007
4,,,0.10-0.20,0.142,0.06,1.576,-0.041 ± 0.011 ± 0.019,0.036 ± 0.017 ± 0.001,-0.009 ± 0.016 ± 0.026,0.008 ± 0.015 ± 0.002
5,,,0.20-0.35,0.259,0.057,1.701,-0.039 ± 0.026 ± 0.023,0.148 ± 0.044 ± 0.003,0.021 ± 0.036 ± 0.038,0.061 ± 0.027 ± 0.017
6,,,0.35-0.70,0.465,0.054,1.819,-0.234 ± 0.090 ± 0.026,-0.054 ± 0.158 ± 0.062,-0.109 ± 0.113 ± 0.064,-0.084 ± 0.061 ± 0.020
7,,,0.00-0.03,0.022,0.095,2.311,0.020 ± 0.015 ± 0.014,0.049 ± 0.021 ± 0.017,-0.002 ± 0.021 ± 0.008,-0.014 ± 0.021 ± 0.005
8,t [GeV^{2} ],0.08 <x_{B} < 0.12,0.03-0.06,0.044,0.098,2.501,-0.013 ± 0.013 ± 0.014,-0.002 ± 0.018 ± 0.003,0.037 ± 0.018 ± 0.011,0.000 ± 0.018 ± 0.003
9,,,0.06-0.10,0.079,0.098,2.462,0.007 ± 0.014 ± 0.010,0.037 ± 0.020 ± 0.002,0.012 ± 0.020 ± 0.010,-0.019 ± 0.020 ± 0.010
10,,,0.10-0.20,0.142,0.098,2.484,-0.020 ± 0.013 ± 0.026,0.038 ± 0.018 ± 0.018,-0.024 ± 0.017 ± 0.024,-0.005 ± 0.017 ± 0.007
11,,,0.20-0.35,0.258,0.099,2.736,-0.064 ± 0.018 ± 0.029,0.107 ± 0.025 ± 0.008,-0.011 ± 0.024 ± 0.042,-0.038 ± 0.024 ± 0.013
12,,,0.35-0.70,0.459,0.099,3.211,-0.077 ± 0.038 ± 0.023,0.023 ± 0.063 ± 0.015,-0.046 ± 0.056 ± 0.010,0.024 ± 0.048 ± 0.029
13,,,0.00-0.03,0.026,0.13,2.954,-0.024 ± 0.045 ± 0.008,-0.007 ± 0.064 ± 0.001,-0.013 ± 0.065 ± 0.023,0.026 ± 0.062 ± 0.011
14,t [GeV^{2} ],0.12 <x_{B} < 0.35,0.03-0.06,0.046,0.145,3.629,0.034 ± 0.018 ± 0.019,-0.044 ± 0.027 ± 0.045,-0.005 ± 0.025 ± 0.020,-0.027 ± 0.025 ± 0.014
15,,,0.06-0.10,0.08,0.16,3.942,-0.026 ± 0.016 ± 0.013,0.044 ± 0.022 ± 0.038,0.012 ± 0.022 ± 0.003,-0.043 ± 0.021 ± 0.005
16,,,0.10-0.20,0.145,0.174,4.309,0.013 ± 0.012 ± 0.010,0.059 ± 0.017 ± 0.024,0.002 ± 0.017 ± 0.010,0.011 ± 0.017 ± 0.003
17,,,0.20-0.35,0.263,0.184,4.799,-0.000 ± 0.015 ± 0.013,0.069 ± 0.022 ± 0.034,0.017 ± 0.021 ± 0.023,0.010 ± 0.021 ± 0.005
18,,,0.35-0.70,0.46,0.194,5.621,-0.023 ± 0.021 ± 0.022,0.078 ± 0.030 ± 0.009,0.068 ± 0.030 ± 0.020,0.061 ± 0.029 ± 0.024
