,φ (deg),Column1,Column3,x_{B} =0.343,_1,x_{B} =0.368,_2,x_{B} =0.375 ,_3,x_{B} =0.379 ,_4,Column12,x_{B} =0.381
0,,,,Q^{2} =1.820GeV^{2},,Q^{2} =1.933GeV^{2},,Q^{2} =1.964GeV^{2},,Q^{2} =1.986GeV^{2},,,Q^{2} =1.999GeV^{2}
1,,,,t =-0.172GeV^{2},, t =-0.232GeV^{2},,t =-0.278GeV^{2},,t =-0.323GeV^{2},,,t =-0.371GeV^{2}
2,7.5,,,"+2.3 111.6 ± 4.1
–0.0",,"+0.0 76.9 ± 4.2
–1.1",,"+2.2 75.2 ± 5.6
–1.7",,"+3.2 66.2 ± 7.7
–0.9",,70.6 ± 11.8,+13.1
3,,,,,,,,,,,,,–0.0
4,22.5,,117.6 ± 3.9,+0.7,68.6 ± 3.7,+0.0,59.7 ± 4.5,+1.4,64.1 ± 6.3,+0.9,,66.3 ± 8.7,+5.2
5,,,,–0.3,,–2.8,,–0.6,,–2.0,,,–0.4
6,37.5,,99.8 ± 3.5,+0.3,61.7 ± 3.2,+0.0,57.9 ± 3.8,+0.9,43.9 ± 4.5,+1.8,,45.1 ± 5.7,+0.0
7,,,,–0.5,,–2.6,,–1.5,,–0.0,,,–3.3
8,52.5,,94.1 ± 3.3,+0.0,66.9 ± 3.0,+0.0,50.4 ± 3.2,+0.0,42.5 ± 3.8,+0.0,,39.0 ± 4.5,+0.0
9,,,,–3.4,,–1.2,,–4.2,,–2.8,,,–5.8
10,67.5,,88.2 ± 3.0,+0.0,55.5 ± 2.7,+0.0,40.0 ± 2.8,+0.2,35.3 ± 3.1,+0.0,,41.0 ± 3.7,+0.0
11,,,,–2.1,,–2.0,,–1.1,,–2.9,,,–2.4
12,82.5,,78.7 ± 2.8,+0.4,46.1 ± 2.4,+0.1,36.1 ± 2.5,+1.3,29.4 ± 2.8,+1.2,,26.7 ± 2.9,+0.0
13,,,,–0.4,,–0.9,,–0.0,,–0.4,,,–3.3
14,97.5,,67.2 ± 2.6,+3.6,40.1 ± 2.1,+0.1,35.2 ± 2.2,+0.6,27.4 ± 2.4,+0.0,,29.2 ± 2.8,+0.0
15,,,,–0.0,,–1.4,,–1.8,,–2.0,,,–3.3
16,112.5,,60.8 ± 2.4,+0.5,37.7 ± 2.0,+0.0,33.0 ± 2.1,+0.0,24.0 ± 2.1,+0.0,,25.9 ± 2.6,+0.0
17,,,,–1.3,,–3.1,,–1.4,,–1.3,,,–1.0
18,127.5,,57.5 ± 2.3,+0.0,34.0 ± 1.8,+0.0,29.3 ± 1.8,+0.1,25.5 ± 2.0,+0.0,,21.4 ± 2.4,+0.1
19,,,,–2.3,,–2.2,,–3.0,,–2.2,,,–1.4
20,142.5,,50.1 ± 2.1,+0.2,33.9 ± 1.7,+0.0,28.0 ± 1.7,+0.0,22.4 ± 1.9,+0.5,,16.1 ± 2.4,+0.0
21,,,,–0.8,,–0.9,,–1.4,,–1.3,,,–1.4
22,157.5,,49.9 ± 2.1,+0.0,34.6 ± 1.7,+0.2,26.3 ± 1.7,+0.0,21.3 ± 2.1,+0.0,,13.5 ± 2.7,+2.7
23,,,,–0.9,,–0.5,,–2.8,,–2.6,,,–0.0
24,172.5,,48.1 ± 2.0,+0.0,30.7 ± 1.6,+0.9,26.8 ± 1.7,+0.0,17.4 ± 2.0,+1.3,,17.5 ± 3.2,+0.0
25,,,,–2.0,,–0.3,,–0.7,,–0.0,,,–1.7
26,187.5,,48.3 ± 2.0,+0.0,31.5 ± 1.6,+0.0,26.6 ± 1.7,+0.2,21.4 ± 2.1,+0.7,,20.5 ± 3.2,+0.0
27,,,,–1.5,,–1.6,,–0.6,,–0.3,,,–1.4
28,202.5,,53.2 ± 2.1,+0.0,35.7 ± 1.7,+1.2,24.7 ± 1.6,+0.0,22.5 ± 2.1,+0.6,,21.7 ± 2.9,+0.0
29,,,,–1.6,,–0.0,,–1.5,,–0.3,,,–1.8
30,217.5,,52.7 ± 2.2,+0.0,33.3 ± 1.7,+0.6,28.4 ± 1.8,+0.0,25.1 ± 2.1,+0.0,,26.5 ± 2.6,+0.0
31,,,,–0.7,,–0.0,,–4.2,,–1.7,,,–1.4
32,232.5,,55.2 ± 2.2,+0.0,33.7 ± 1.8,+0.2,28.4 ± 1.9,+0.0,26.0 ± 2.1,+0.0,,20.1 ± 2.2,+0.0
33,,,,–3.4,,–1.1,,–1.5,,–0.4,,,–2.4
34,247.5,,58.5 ± 2.3,+0.2,37.7 ± 2.0,+0.0,37.3 ± 2.2,+0.0,30.5 ± 2.4,+0.1,,25.7 ± 2.6,+0.0
35,,,,–0.9,,–1.3,,–2.5,,–3.1,,,–1.8
36,262.5,,63.1 ± 2.4,+0.0,40.4 ± 2.1,+0.0,37.8 ± 2.3,+0.0,28.2 ± 2.5,+1.3,,21.7 ± 2.6,+0.6
37,,,,–2.8,,–1.7,,–2.5,,–0.3,,,–1.6
