,φ (deg),Column1,"x_{B} =0.345
Q^{2} =2.218GeV^{2}
t =-0.176GeV^{2}",_1,"x_{B} =0.363
Q^{2} =2.318GeV^{2}
t =-0.232GeV^{2}",_2,"x_{B} =0.368
Q^{2} =2.348GeV^{2}
t =-0.279GeV^{2}",_3,"x_{B} =0.371
Q^{2} =2.360GeV^{2}
t =-0.325GeV^{2}",_4,"x_{B} =0.373
Q^{2} =2.375GeV^{2}
t =-0.372GeV^{2}"
0,7.5,,"+1.1 104.3 ± 3.6
–0.2",,"+0.0 80.3 ± 3.5
–1.1",,"+3.1 66.6 ± 4.2
–0.0",,"+0.5 64.8 ± 5.8
–1.9",,"+0.0 60.6 ± 8.4
–8.2"
1,22.5,,"+1.6 108.6 ± 3.6
–0.9",,"+3.6 80.6 ± 3.3
–0.0",,"+2.6 71.9 ± 4.0
–0.6",,"+0.0 60.2 ± 4.9
–3.9",,"+0.0 54.8 ± 6.3
–3.3"
2,37.5,,"+2.6 100.3 ± 3.4
–0.0",,"+0.1 70.5 ± 3.0
–1.8",,"+0.0 58.0 ± 3.2
–5.8",,"+0.9 42.3 ± 3.4
–0.6",,"+2.2 41.2 ± 4.1
–1.4"
3,52.5,,"+1.5 91.2 ± 3.2
–1.0",,"+0.5 60.4 ± 2.7
–1.3",,"+0.2 48.2 ± 2.8
–0.7",,"+3.1 39.2 ± 3.0
–0.0",,"+1.4 38.8 ± 3.3
–0.0"
4,67.5,,"+0.0 76.8 ± 2.9
–3.1",,"+0.6 51.3 ± 2.4
–0.4",,"+0.2 42.2 ± 2.4
–2.5",,"+3.0 36.8 ± 2.6
–0.0",,"+1.4 29.5 ± 2.6
–0.1"
5,82.5,,"+0.4 73.0 ± 2.8
–0.6",,"+1.1 46.3 ± 2.2
–0.1",,"+0.0 39.4 ± 2.2
–3.0",,"+0.0 27.3 ± 2.1
–1.0",,"+0.6 23.8 ± 2.2
–0.2"
6,97.5,,"+0.4 56.5 ± 2.5
–0.7",,"+0.5 42.6 ± 2.0
–0.7",,"+2.1 29.5 ± 1.9
–0.2",,"+0.0 25.1 ± 1.9
–0.8",,"+0.0 20.3 ± 1.9
–1.1"
7,112.5,,"+0.6 55.7 ± 2.3
–1.2",,"+0.8 35.3 ± 1.8
–0.3",,"+0.0 28.7 ± 1.7
–0.8",,"+0.4 24.3 ± 1.7
–0.7",,"+0.0 16.6 ± 1.6
–1.8"
8,127.5,,"+0.4 49.0 ± 2.2
–1.1",,"+0.0 34.8 ± 1.7
–1.5",,"+0.0 23.8 ± 1.5
–0.9",,"+0.5 21.9 ± 1.6
–0.4",,"+0.0 16.5 ± 1.5
–2.6"
9,142.5,,"+1.4 47.0 ± 2.1
–0.0",,"+0.1 28.4 ± 1.6
–0.5",,"+0.0 24.8 ± 1.5
–0.6",,"+0.0 20.3 ± 1.5
–0.6",,"+0.0 14.9 ± 1.4
–1.3"
10,157.5,,"+0.1 41.1 ± 2.0
–1.4",,"+0.1 30.9 ± 1.6
–0.9",,"+0.0 25.7 ± 1.6
–1.4",,"+0.2 19.0 ± 1.5
–0.2",,"+0.9 14.0 ± 1.5
–0.0"
11,172.5,,"+0.0 41.6 ± 2.0
–0.9",,"+0.1 25.7 ± 1.5
–0.6",,"+0.1 25.7 ± 1.6
–0.5",,"+0.9 20.4 ± 1.6
–0.0",,"+0.0 13.7 ± 1.7
–0.7"
12,187.5,,"+0.0 38.5 ± 1.9
–1.1",,"+0.0 27.7 ± 1.5
–0.9",,"+0.0 20.6 ± 1.5
–0.6",,"+0.3 18.1 ± 1.5
–0.6",,"+1.1 15.1 ± 1.7
–0.2"
13,202.5,,"+0.4 41.1 ± 1.9
–1.1",,"+0.1 29.7 ± 1.6
–0.6",,"+0.1 20.7 ± 1.5
–0.4",,"+0.0 22.8 ± 1.6
–1.7",,"+0.5 16.7 ± 1.6
–0.3"
14,217.5,,"+0.3 45.3 ± 2.1
–0.6",,"+0.1 31.4 ± 1.6
–0.6",,"+0.0 24.2 ± 1.5
–1.5",,"+0.0 19.1 ± 1.5
–1.0",,"+0.3 14.2 ± 1.4
–0.5"
15,232.5,,"+0.0 51.3 ± 2.2
–0.9",,"+0.3 34.4 ± 1.7
–0.6",,"+0.0 28.3 ± 1.6
–1.0",,"+0.0 21.9 ± 1.5
–1.5",,"+0.0 19.0 ± 1.5
–0.7"
16,247.5,,"+0.0 53.3 ± 2.3
–1.6",,"+0.5 35.8 ± 1.8
–0.3",,"+1.3 27.2 ± 1.7
–0.1",,"+0.0 20.8 ± 1.6
–1.5",,"+0.1 18.5 ± 1.7
–2.4"
17,262.5,,"+0.0 62.2 ± 2.5
–3.2",,"+0.1 42.4 ± 2.0
–1.1",,"+0.1 31.7 ± 1.8
–1.0",,"+0.3 25.6 ± 1.9
–0.1",,"+0.0 19.6 ± 1.8
–1.3"
18,277.5,,"+0.4 70.0 ± 2.7
–1.0",,"+0.0 43.9 ± 2.1
–1.6",,"+0.1 35.1 ± 2.0
–0.3",,"+0.0 31.5 ± 2.1
–1.2",,"+0.0 24.2 ± 2.0
–0.9"
19,292.5,,"+2.3 80.1 ± 2.9
–0.0",,"+1.0 54.6 ± 2.3
–0.6",,"+1.2 41.8 ± 2.2
–0.1",,"+0.0 36.4 ± 2.4
–1.9",,"+0.0 31.2 ± 2.5
–1.4"
20,307.5,,"+4.3 87.4 ± 3.1
–0.0",,"+0.0 63.3 ± 2.6
–3.3",,"+0.0 51.4 ± 2.7
–2.6",,"+0.0 40.0 ± 2.7
–1.8",,"+1.6 33.3 ± 2.9
–0.2"
21,322.5,,"+0.0 97.4 ± 3.3
–1.8",,"+0.0 66.8 ± 2.9
–3.3",,"+0.0 51.4 ± 2.9
–4.9",,"+0.0 52.6 ± 3.4
–2.1",,"+0.0 45.5 ± 4.0
–7.6"
22,337.5,,"+2.7 99.2 ± 3.5
–0.0",,"+0.0 75.2 ± 3.3
–2.2",,"+0.0 56.8 ± 3.5
–3.2",,"+0.0 55.7 ± 4.6
–8.2",,"+0.7 55.2 ± 6.4
–4.0"
23,352.5,,"+1.7 98.6 ± 3.6
–0.0",,"+0.0 77.3 ± 3.5
–4.7",,"+2.0 60.0 ± 4.1
–1.1",,"+3.2 59.1 ± 5.7
–0.0",,"+3.1 55.4 ± 8.7
–1.3"
