phi(deg),x,q2(GeV2),t(GeV2),value,stat_u,syst_u,syst_ub,,,
7.5,0.345,1.453,0.170,0.8,7.9,1.0,3.0,,,
22.5,0.345,1.453,0.170,5.2,7.1,0.0,9.4,,,
37.5,0.345,1.453,0.170,16.5,6.3,0.0,0.7,,,
52.5,0.345,1.453,0.170,18.8,5.2,1.1,1.1,,,
67.5,0.345,1.453,0.170,19.9,4.5,2.6,0.0,,,
82.5,0.345,1.453,0.170,14.0,4.0,1.6,0.0,,,
97.5,0.345,1.453,0.170,15.8,3.8,0.0,2.8,,,
112.5,0.345,1.453,0.170,15.9,3.6,1.9,0.2,,,
127.5,0.345,1.453,0.170,12.7,3.3,1.5,0.3,,,
142.5,0.345,1.453,0.170,10.0,3.1,0.0,3.0,,,
157.5,0.345,1.453,0.170,6.8,2.9,3.0,0.0,,,
172.5,0.345,1.453,0.170,-3.5,2.8,0.4,1.6,,,
187.5,0.345,1.453,0.170,-1.9,2.8,1.1,0.3,,,
202.5,0.345,1.453,0.170,-5.3,2.9,1.1,0.3,,,
217.5,0.345,1.453,0.170,-4.4,3.0,2.0,0.8,,,
232.5,0.345,1.453,0.170,-8.0,3.2,1.1,0.4,,,
247.5,0.345,1.453,0.170,-11.8,3.4,0.0,5.7,,,
262.5,0.345,1.453,0.170,-11.3,3.6,0.0,3.4,,,
277.5,0.345,1.453,0.170,-24.0,3.9,2.4,0.2,,,
292.5,0.345,1.453,0.170,-26.5,4.4,2.4,0.0,,,
307.5,0.345,1.453,0.170,-16.6,5.0,5.2,1.5,,,
322.5,0.345,1.453,0.170,-18.7,6.0,4.7,0.0,,,
337.5,0.345,1.453,0.170,-5.7,6.9,2.7,2.3,,,
352.5,0.345,1.453,0.170,-1.4,7.6,1.6,1.9,,,
7.5,0.374,1.552,0.232,5.7,7.9,0.0,3.8,,,
22.5,0.374,1.552,0.232,-2.2,7.1,8.4,0.0,,,
37.5,0.374,1.552,0.232,4.3,6.1,1.9,3.4,,,
52.5,0.374,1.552,0.232,13.4,5.1,3.2,1.2,,,
67.5,0.374,1.552,0.232,12.4,4.6,0.0,4.0,,,
82.5,0.374,1.552,0.232,12.2,3.8,1.0,0.0,,,
97.5,0.374,1.552,0.232,8.3,3.5,1.6,1.1,,,
112.5,0.374,1.552,0.232,13.6,3.3,0.7,1.7,,,
127.5,0.374,1.552,0.232,6.7,3.1,0.0,4.9,,,
142.5,0.374,1.552,0.232,7.7,2.8,0.0,3.4,,,
157.5,0.374,1.552,0.232,3.0,2.7,1.1,0.0,,,
172.5,0.374,1.552,0.232,-1.6,2.7,1.5,0.3,,,
187.5,0.374,1.552,0.232,1.0,2.6,1.0,0.4,,,
202.5,0.374,1.552,0.232,-1.8,2.8,4.0,0.0,,,
217.5,0.374,1.552,0.232,-4.9,2.9,1.2,0.9,,,
232.5,0.374,1.552,0.232,-8.7,2.9,1.1,1.2,,,
247.5,0.374,1.552,0.232,-10.4,3.2,2.4,0.0,,,
262.5,0.374,1.552,0.232,-7.9,3.5,2.4,1.0,,,
277.5,0.374,1.552,0.232,-11.0,3.6,0.0,3.3,,,
292.5,0.374,1.552,0.232,-16.4,4.2,0.9,1.5,,,
307.5,0.374,1.552,0.232,-10.0,4.7,3.1,0.0,,,
322.5,0.374,1.552,0.232,-11.8,6.0,0.0,5.5,,,
337.5,0.374,1.552,0.232,-6.8,7.0,4.3,0.0,,,
352.5,0.374,1.552,0.232,-4.3,7.8,5.1,0.0,,,
7.5,0.385,1.589,0.278,-7.2,10.8,0.0,3.5,,,
22.5,0.385,1.589,0.278,3.1,8.9,9.9,1.8,,,
37.5,0.385,1.589,0.278,20.3,6.9,0.0,5.1,,,
52.5,0.385,1.589,0.278,18.3,5.7,0.0,4.2,,,
67.5,0.385,1.589,0.278,5.4,4.8,2.4,0.0,,,
82.5,0.385,1.589,0.278,9.0,4.1,6.1,0.0,,,
97.5,0.385,1.589,0.278,8.6,3.9,1.8,2.9,,,
112.5,0.385,1.589,0.278,-2.2,3.5,5.1,0.0,,,
127.5,0.385,1.589,0.278,4.0,3.2,4.7,0.0,,,
142.5,0.385,1.589,0.278,4.2,3.3,1.8,0.0,,,
157.5,0.385,1.589,0.278,8.0,3.7,0.9,1.8,,,
172.5,0.385,1.589,0.278,-2.0,3.6,5.0,0.0,,,
187.5,0.385,1.589,0.278,0.2,3.6,1.2,0.8,,,
202.5,0.385,1.589,0.278,0.9,3.4,0.0,3.4,,,
217.5,0.385,1.589,0.278,-1.5,3.4,1.1,1.9,,,
232.5,0.385,1.589,0.278,-5.2,3.2,1.9,0.0,,,
247.5,0.385,1.589,0.278,-11.5,3.5,0.7,0.2,,,
262.5,0.385,1.589,0.278,-6.2,3.7,0.8,1.5,,,
277.5,0.385,1.589,0.278,-9.3,3.9,1.0,0.0,,,
292.5,0.385,1.589,0.278,-7.5,4.5,0.9,1.7,,,
307.5,0.385,1.589,0.278,-2.5,5.3,0.0,4.9,,,
322.5,0.385,1.589,0.278,-17.4,6.9,7.5,0.0,,,
337.5,0.385,1.589,0.278,-3.0,9.4,0.0,2.4,,,
352.5,0.385,1.589,0.278,0.5,11.2,2.6,3.8,,,
7.5,0.391,1.608,0.323,4.2,13.8,4.5,3.2,,,
22.5,0.391,1.608,0.323,10.8,13.1,0.0,1.6,,,
37.5,0.391,1.608,0.323,18.0,8.7,3.8,0.0,,,
52.5,0.391,1.608,0.323,18.0,6.6,7.8,0.0,,,
67.5,0.391,1.608,0.323,13.9,5.4,0.4,4.6,,,
82.5,0.391,1.608,0.323,5.7,4.6,3.6,0.0,,,
97.5,0.391,1.608,0.323,0.6,4.2,4.5,0.0,,,
112.5,0.391,1.608,0.323,6.3,3.9,1.3,1.4,,,
127.5,0.391,1.608,0.323,2.0,3.9,0.1,2.1,,,
142.5,0.391,1.608,0.323,1.2,4.5,0.6,3.0,,,
157.5,0.391,1.608,0.323,5.9,5.6,4.0,0.7,,,
172.5,0.391,1.608,0.323,-1.8,6.6,2.3,0.0,,,
187.5,0.391,1.608,0.323,-13.9,6.1,0.0,4.2,,,
202.5,0.391,1.608,0.323,1.8,5.5,2.0,2.1,,,
217.5,0.391,1.608,0.323,-9.8,4.8,1.2,3.2,,,
232.5,0.391,1.608,0.323,1.8,3.9,1.8,0.0,,,
247.5,0.391,1.608,0.323,-11.7,4.1,2.4,0.0,,,
262.5,0.391,1.608,0.323,-15.0,4.3,0.4,1.5,,,
277.5,0.391,1.608,0.323,-12.1,4.6,1.6,2.1,,,
292.5,0.391,1.608,0.323,-4.2,5.2,0.0,7.3,,,
307.5,0.391,1.608,0.323,1.8,6.7,0.0,4.2,,,
322.5,0.391,1.608,0.323,-15.0,9.4,7.9,0.0,,,
337.5,0.391,1.608,0.323,-8.7,12.8,9.5,0.0,,,
352.5,0.391,1.608,0.323,-10.2,15.5,0.0,7.2,,,
7.5,0.399,1.633,0.370,12.7,20.7,0.0,6.2,,,
22.5,0.399,1.633,0.370,25.7,16.3,2.6,1.3,,,
37.5,0.399,1.633,0.370,25.2,11.2,0.0,2.1,,,
52.5,0.399,1.633,0.370,16.3,8.3,2.6,1.8,,,
67.5,0.399,1.633,0.370,11.7,6.2,0.0,6.8,,,
82.5,0.399,1.633,0.370,6.9,4.9,0.6,2.2,,,
97.5,0.399,1.633,0.370,18.9,4.7,1.4,2.3,,,
112.5,0.399,1.633,0.370,2.2,4.7,4.8,0.8,,,
127.5,0.399,1.633,0.370,7.1,5.8,0.3,7.2,,,
142.5,0.399,1.633,0.370,-1.5,7.1,4.4,2.8,,,
157.5,0.399,1.633,0.370,9.1,10.9,3.5,4.0,,,
172.5,0.399,1.633,0.370,-18.3,23.5,0.0,4.1,,,
187.5,0.399,1.633,0.370,-28.1,15.5,5.6,7.0,,,
202.5,0.399,1.633,0.370,0.6,9.0,0.0,8.1,,,
217.5,0.399,1.633,0.370,0.1,7.4,2.3,0.8,,,
232.5,0.399,1.633,0.370,-1.9,5.6,2.3,0.2,,,
247.5,0.399,1.633,0.370,-10.9,5.1,0.8,1.3,,,
262.5,0.399,1.633,0.370,-5.5,4.6,0.3,5.1,,,
277.5,0.399,1.633,0.370,-5.8,4.9,0.9,0.5,,,
