phi(deg),x,Q2(GeV2),t(GeV2),value,stat_u,syst_u,syst_ub
7.5,0.343,1.820,0.172,-1.0,6.0,1.0,1.1
22.5,0.343,1.820,0.172,12.2,5.7,2.3,0.0
37.5,0.343,1.820,0.172,16.8,4.9,2.6,0.5
52.5,0.343,1.820,0.172,15.3,4.5,1.9,0.9
67.5,0.343,1.820,0.172,15.8,4.3,0.5,1.2
82.5,0.343,1.820,0.172,20.5,3.9,2.0,0.0
97.5,0.343,1.820,0.172,15.1,3.6,3.8,0.0
112.5,0.343,1.820,0.172,6.7,3.4,0.0,1.7
127.5,0.343,1.820,0.172,14.9,3.2,0.0,1.1
142.5,0.343,1.820,0.172,6.9,3.0,2.4,0.0
157.5,0.343,1.820,0.172,5.7,3.0,1.5,0.9
172.5,0.343,1.820,0.172,0.7,2.9,2.0,1.0
187.5,0.343,1.820,0.172,-0.3,2.9,1.4,0.0
202.5,0.343,1.820,0.172,-6.5,3.0,1.6,0.7
217.5,0.343,1.820,0.172,-8.1,3.1,0.0,1.9
232.5,0.343,1.820,0.172,-9.2,3.1,0.4,1.5
247.5,0.343,1.820,0.172,-11.8,3.2,3.2,0.0
262.5,0.343,1.820,0.172,-17.5,3.4,3.0,0.0
277.5,0.343,1.820,0.172,-16.0,3.8,0.5,1.4
292.5,0.343,1.820,0.172,-17.2,4.0,2.6,0.4
307.5,0.343,1.820,0.172,-16.3,4.5,1.7,0.6
322.5,0.343,1.820,0.172,-11.6,4.9,0.7,1.3
337.5,0.343,1.820,0.172,-1.9,5.5,2.7,1.0
352.5,0.343,1.820,0.172,-3.6,5.9,0.0,2.2
7.5,0.368,1.933,0.232,3.1,6.1,0.0,4.8
22.5,0.368,1.933,0.232,-1.9,5.4,1.9,1.4
37.5,0.368,1.933,0.232,12.0,4.5,1.6,2.0
52.5,0.368,1.933,0.232,19.3,4.2,0.1,0.9
67.5,0.368,1.933,0.232,14.4,3.7,0.1,3.0
82.5,0.368,1.933,0.232,10.8,3.2,0.2,3.1
97.5,0.368,1.933,0.232,8.6,2.8,2.6,0.5
112.5,0.368,1.933,0.232,4.3,2.7,1.6,0.7
127.5,0.368,1.933,0.232,7.2,2.4,0.4,1.0
142.5,0.368,1.933,0.232,7.0,2.3,0.0,0.5
