,x,Q2,t,phi,value,stat_u,syst_u,col,obsv,units,target,beam,energy (GeV)
0,0.126,1.11,0.11,7.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
1,0.126,1.11,0.11,22.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
2,0.126,1.11,0.11,37.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
3,0.126,1.11,0.11,55.82,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
4,0.126,1.11,0.11,68.33,8.9354,0.5418,0.7223,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
5,0.126,1.11,0.11,82.35,5.7024,0.2823,0.3494,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
6,0.126,1.11,0.11,97.13,3.5973,0.204,0.2525,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
7,0.126,1.11,0.11,112.2,2.9545,0.2122,0.1979,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
8,0.126,1.11,0.11,127.27,2.604,0.1803,0.2255,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
9,0.126,1.11,0.11,142.33,2.1674,0.1402,0.1421,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
10,0.126,1.11,0.11,157.4,2.1833,0.1464,0.1295,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
11,0.126,1.11,0.11,172.47,1.9659,0.1725,0.1965,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
12,0.126,1.11,0.11,187.53,2.3694,0.1673,0.2242,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
13,0.126,1.11,0.11,202.6,2.1443,0.1377,0.1475,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
14,0.126,1.11,0.11,217.67,2.4837,0.1629,0.2342,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
15,0.126,1.11,0.11,232.73,2.4709,0.1904,0.184,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
16,0.126,1.11,0.11,247.8,3.0839,0.1776,0.2447,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
17,0.126,1.11,0.11,262.87,3.4295,0.1893,0.2189,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
18,0.126,1.11,0.11,277.65,5.3907,0.2922,0.372,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
19,0.126,1.11,0.11,291.67,9.0739,0.5655,0.942,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
20,0.126,1.11,0.11,304.18,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
21,0.126,1.11,0.11,322.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
22,0.126,1.11,0.11,337.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
23,0.126,1.11,0.11,352.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
24,0.126,1.11,0.15,7.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
25,0.126,1.11,0.15,22.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
26,0.126,1.11,0.15,37.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
27,0.126,1.11,0.15,56.12,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
28,0.126,1.11,0.15,68.12,5.0617,0.4033,0.2938,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
29,0.126,1.11,0.15,82.03,3.1358,0.1995,0.4105,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
30,0.126,1.11,0.15,97.11,2.498,0.1521,0.1694,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
31,0.126,1.11,0.15,112.18,1.7895,0.134,0.1277,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
32,0.126,1.11,0.15,127.26,1.345,0.1137,0.1315,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
33,0.126,1.11,0.15,142.33,1.3565,0.0931,0.1128,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
34,0.126,1.11,0.15,157.4,1.3242,0.0923,0.0954,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
35,0.126,1.11,0.15,172.47,1.2156,0.1056,0.1697,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
36,0.126,1.11,0.15,187.53,1.2164,0.0995,0.1079,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
37,0.126,1.11,0.15,202.6,1.2284,0.0879,0.0807,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
38,0.126,1.11,0.15,217.67,1.2196,0.0892,0.067,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
39,0.126,1.11,0.15,232.74,1.3916,0.1202,0.0865,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
40,0.126,1.11,0.15,247.82,1.6852,0.1232,0.1837,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
41,0.126,1.11,0.15,262.89,2.1674,0.1379,0.1314,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
42,0.126,1.11,0.15,277.97,3.6278,0.2195,0.2482,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
43,0.126,1.11,0.15,291.88,4.8063,0.3726,0.3976,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
44,0.126,1.11,0.15,303.88,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
45,0.126,1.11,0.15,322.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
46,0.126,1.11,0.15,337.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
47,0.126,1.11,0.15,352.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
48,0.126,1.11,0.2,7.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
49,0.126,1.11,0.2,22.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
50,0.126,1.11,0.2,37.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
51,0.126,1.11,0.2,56.19,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
52,0.126,1.11,0.2,67.53,3.1688,0.3298,0.4738,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
53,0.126,1.11,0.2,82.0,2.4884,0.1935,0.1799,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
54,0.126,1.11,0.2,97.09,1.6622,0.1287,0.1248,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
55,0.126,1.11,0.2,112.17,1.2373,0.1092,0.1257,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
56,0.126,1.11,0.2,127.25,0.8238,0.0904,0.1178,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
57,0.126,1.11,0.2,142.32,0.7833,0.0705,0.1369,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
58,0.126,1.11,0.2,157.39,0.8914,0.0736,0.0575,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
59,0.126,1.11,0.2,172.46,0.74,0.0786,0.0817,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
60,0.126,1.11,0.2,187.54,0.7966,0.086,0.1386,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
61,0.126,1.11,0.2,202.61,0.6193,0.0598,0.053,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
62,0.126,1.11,0.2,217.68,0.7481,0.0658,0.0948,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
63,0.126,1.11,0.2,232.75,0.9311,0.0931,0.0677,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
64,0.126,1.11,0.2,247.83,0.999,0.0967,0.1017,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
65,0.126,1.11,0.2,262.91,1.536,0.1214,0.1171,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
66,0.126,1.11,0.2,278.0,1.834,0.1551,0.361,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
67,0.126,1.11,0.2,292.47,2.8245,0.2851,0.396,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
68,0.126,1.11,0.2,303.81,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
69,0.126,1.11,0.2,322.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
70,0.126,1.11,0.2,337.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
71,0.126,1.11,0.2,352.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
72,0.126,1.11,0.26,7.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
73,0.126,1.11,0.26,22.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
74,0.126,1.11,0.26,37.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
75,0.126,1.11,0.26,55.41,2.2281,0.2864,0.3472,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
76,0.126,1.11,0.26,66.94,2.2591,0.2104,0.2915,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
77,0.126,1.11,0.26,81.98,1.2245,0.1087,0.1177,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
78,0.126,1.11,0.26,97.08,0.7881,0.0707,0.0826,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
79,0.126,1.11,0.26,112.16,0.7875,0.0663,0.1246,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
80,0.126,1.11,0.26,127.24,0.5334,0.0598,0.0721,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
81,0.126,1.11,0.26,142.32,0.485,0.0471,0.0294,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
82,0.126,1.11,0.26,157.39,0.5123,0.0463,0.0366,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
83,0.126,1.11,0.26,172.46,0.5262,0.0519,0.0413,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
84,0.126,1.11,0.26,187.54,0.3819,0.0485,0.0333,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
85,0.126,1.11,0.26,202.61,0.406,0.0409,0.0524,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
86,0.126,1.11,0.26,217.68,0.462,0.0435,0.0453,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
87,0.126,1.11,0.26,232.76,0.5933,0.0578,0.0636,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
88,0.126,1.11,0.26,247.84,0.5589,0.0621,0.0552,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
89,0.126,1.11,0.26,262.92,0.8558,0.0749,0.0672,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
90,0.126,1.11,0.26,278.02,1.2099,0.1,0.2443,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
91,0.126,1.11,0.26,293.06,1.7066,0.1666,0.2957,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
92,0.126,1.11,0.26,304.59,2.4484,0.3194,0.3525,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
93,0.126,1.11,0.26,322.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
94,0.126,1.11,0.26,337.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
95,0.126,1.11,0.26,352.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
96,0.126,1.11,0.34,7.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
97,0.126,1.11,0.34,22.5,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
98,0.126,1.11,0.34,43.8,0.0,0.0,0.0,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
99,0.126,1.11,0.34,53.26,1.5748,0.1358,0.3926,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
100,0.126,1.11,0.34,66.86,1.0215,0.1056,0.2201,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
101,0.126,1.11,0.34,81.98,0.7974,0.0752,0.0974,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
102,0.126,1.11,0.34,97.07,0.5145,0.0468,0.0496,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
103,0.126,1.11,0.34,112.16,0.3987,0.0378,0.033,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
104,0.126,1.11,0.34,127.24,0.4166,0.0467,0.0517,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
105,0.126,1.11,0.34,142.31,0.3327,0.0345,0.0397,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
106,0.126,1.11,0.34,157.39,0.2754,0.0288,0.0159,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
107,0.126,1.11,0.34,172.46,0.293,0.033,0.0437,CLAS,d4sigma/dQ2 dxb dt dphi,nb/GeV4,proton,e,3.417046671
