,t_n,t_d,phi,value,stat_u,syst_u_high,syst_u_low,col,obsv,units,target,beam,energy
0,-0.4,-0.33,15,5.59866,19.5,13.4438,39.7467,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
1,-0.4,-0.33,45,28.6127,8.55856,7.34581,11.0527,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
2,-0.4,-0.33,75,5.81904,1.92238,1.85679,2.03823,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
3,-0.4,-0.33,105,3.37559,1.72386,1.21578,1.63343,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
4,-0.4,-0.33,135,3.95667,1.70159,1.20401,1.06033,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
5,-0.4,-0.33,165,4.4545,2.3891,1.99189,2.48247,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
6,-0.4,-0.33,195,3.99521,2.08619,1.85894,2.15454,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
7,-0.4,-0.33,225,1.95764,1.58774,1.17416,0.913702,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
8,-0.4,-0.33,255,3.36024,1.79179,1.36681,1.82045,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
9,-0.4,-0.33,285,5.70601,2.22147,2.51192,2.74169,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
10,-0.4,-0.33,315,19.9856,9.79001,8.9325,13.9319,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
11,-0.4,-0.33,345,30.0512,18.8283,11.7309,33.9847,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
12,-0.32,-0.26,15,55.491,21.5848,16.9529,25.1276,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
13,-0.32,-0.26,45,20.4013,10.8481,17.6936,19.1008,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
14,-0.32,-0.26,75,11.7525,5.76136,17.6196,17.4529,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
15,-0.32,-0.26,105,7.41341,4.50558,5.68475,6.04841,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
16,-0.32,-0.26,135,1.22452,3.68572,5.0234,4.67047,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
17,-0.32,-0.26,165,1.68611,4.64632,8.97587,8.07124,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
18,-0.32,-0.26,195,2.11571,3.93858,7.57671,6.81064,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
19,-0.32,-0.26,225,3.97863,6.39053,8.70986,8.1051,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
20,-0.32,-0.26,255,4.64321,5.30984,6.87932,7.3074,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
21,-0.32,-0.26,285,15.1624,6.05764,18.3211,18.1408,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
22,-0.32,-0.26,315,48.3138,13.9852,22.1376,23.8226,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
23,-0.32,-0.26,345,27.7972,30.1865,25.891,38.7176,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
24,-0.25,-0.2,15,111.588,37.3639,48.7926,35.0076,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
25,-0.25,-0.2,45,50.6228,16.8146,25.8418,21.6889,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
26,-0.25,-0.2,75,32.2634,6.57537,16.853,16.738,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
27,-0.25,-0.2,105,26.9944,6.8797,9.59103,9.45846,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
28,-0.25,-0.2,135,21.5309,7.63654,3.83524,4.04092,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
29,-0.25,-0.2,165,35.0106,9.83493,9.39494,11.4835,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
30,-0.25,-0.2,195,22.9663,7.43738,6.93709,8.32157,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
31,-0.25,-0.2,225,29.9417,7.77389,5.0351,4.29728,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
32,-0.25,-0.2,255,39.2313,7.90088,10.0803,9.96059,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
33,-0.25,-0.2,285,43.1603,8.22631,21.9329,22.0859,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
34,-0.25,-0.2,315,56.6562,15.9667,23.8775,20.1616,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
35,-0.25,-0.2,345,82.2766,29.1889,38.002,27.1008,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
36,-0.18,-0.15,15,2.82412,36.7529,74.1647,77.4877,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
37,-0.18,-0.15,45,4.39948,22.0978,35.7662,32.5433,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
38,-0.18,-0.15,75,35.8085,9.63466,51.7658,50.5895,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
39,-0.18,-0.15,105,34.7997,12.2974,41.9214,42.1832,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
40,-0.18,-0.15,135,61.2779,14.9105,42.9838,43.2617,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
41,-0.18,-0.15,165,58.7184,15.3631,65.3294,64.8157,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
42,-0.18,-0.15,195,49.0471,17.2845,75.5662,74.7489,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
43,-0.18,-0.15,225,57.1085,15.2925,44.7413,44.5041,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
44,-0.18,-0.15,255,52.3507,13.6355,45.6708,45.9146,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
45,-0.18,-0.15,285,57.1952,14.2956,80.4814,78.6641,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
46,-0.18,-0.15,315,38.0052,21.0542,33.7475,30.7361,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
47,-0.18,-0.15,345,2.30223,29.9613,60.4601,63.1688,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,4.45
48,-0.4,-0.33,15,26.5008,14.8624,8.86672,26.9228,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
49,-0.4,-0.33,45,32.0374,9.02276,7.40636,12.0951,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
50,-0.4,-0.33,75,10.3737,3.23288,3.55631,2.85955,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
51,-0.4,-0.33,105,2.25154,1.53148,1.59393,1.17918,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
52,-0.4,-0.33,135,2.23887,1.52175,1.17704,1.06779,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
53,-0.4,-0.33,165,5.88761,2.63965,2.3084,3.63398,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
54,-0.4,-0.33,195,9.90613,3.40896,3.10962,4.61861,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
55,-0.4,-0.33,225,5.12277,2.10488,1.8965,2.45231,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
56,-0.4,-0.33,255,6.14269,2.88416,3.04288,2.5638,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
57,-0.4,-0.33,285,14.8313,4.16784,4.59177,3.47935,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
58,-0.4,-0.33,315,17.1891,7.02793,6.07273,9.64655,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
59,-0.4,-0.33,345,42.0765,15.6391,7.54216,22.335,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
