,hQ^{2} i,hx_{B} i,h−ti,hφi,A_{LU}
0,(GeV2),,(GeV2),(degree),
1,,,,26,0.017 ± 0.144 ± 0.022
2,,,,62,0.348 ± 0.087 ± 0.020
3,,,,99,0.381 ± 0.095 ± 0.041
4,,,,142,0.294 ± 0.138 ± 0.033
5,1.16,0.132,0.095,178,0.043 ± 0.152 ± 0.029
6,,,,219,-0.035 ± 0.132 ± 0.024
7,,,,263,-0.277 ± 0.105 ± 0.037
8,,,,301,-0.214 ± 0.084 ± 0.026
9,,,,335,-0.234 ± 0.122 ± 0.032
10,,,,23,0.158 ± 0.085 ± 0.023
11,,,,57,0.173 ± 0.088 ± 0.020
12,,,,96,0.226 ± 0.133 ± 0.030
13,,,,139,0.245 ± 0.176 ± 0.019
14,1.44,0.17,0.099,180,-0.102 ± 0.192 ± 0.020
15,,,,219,-0.288 ± 0.191 ± 0.027
16,,,,264,-0.294 ± 0.136 ± 0.029
17,,,,303,-0.398 ± 0.092 ± 0.033
18,,,,338,-0.269 ± 0.083 ± 0.025
19,1.84,0.225,0.107,20,0.263 ± 0.076 ± 0.025
20,,,,56,0.428 ± 0.089 ± 0.022
21,,,,96,0.493 ± 0.139 ± 0.027
22,,,,138,-0.274 ± 0.280 ± 0.017
23,,,,180,0.847 ± 0.250 ± 0.020
24,,,,225,-0.051 ± 0.281 ± 0.027
25,,,,263,-0.342 ± 0.169 ± 0.035
26,,,,305,-0.136 ± 0.103 ± 0.026
27,,,,340,-0.166 ± 0.077 ± 0.018
