,x_B,Q^2,t,phi,value,stat_u,syst_u (upper limit),syst_u (lower limit),col,obs,units,target,beam,RS
0,0.363,3.17,-0.0442,7.5,0.00342,0.002,0.00022,-0.001,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
1,0.363,3.17,-0.0442,22.5,0.000989,0.0018,0.00061,-0.00074,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
2,0.363,3.17,-0.0442,37.5,0.00615,0.0017,0.00048,-0.00051,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
3,0.363,3.17,-0.0442,52.5,0.0036,0.0017,0.00084,-0.00025,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
4,0.363,3.17,-0.0442,67.5,0.00604,0.0016,0.00029,-0.00061,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
5,0.363,3.17,-0.0442,82.5,0.00423,0.0015,0.00062,-0.00023,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
6,0.363,3.17,-0.0442,97.5,0.00971,0.0014,0.00046,-0.00081,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
7,0.363,3.17,-0.0442,112.5,0.0049,0.0012,0.00022,-0.00036,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
8,0.363,3.17,-0.0442,127.5,0.00559,0.0012,0.00056,-0.00023,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
9,0.363,3.17,-0.0442,142.5,0.00324,0.0012,0.00053,-0.00046,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
10,0.363,3.17,-0.0442,157.5,0.00069,0.0012,0.0004,-0.00046,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
11,0.363,3.17,-0.0442,172.5,0.00236,0.0012,0.00052,-0.00034,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
12,0.363,3.17,-0.0442,187.5,0.000113,0.0011,0.00016,-0.00071,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
13,0.363,3.17,-0.0442,202.5,-0.00108,0.0011,0.00085,-0.00038,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
14,0.363,3.17,-0.0442,217.5,-0.00305,0.0012,0.00039,-0.00063,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
15,0.363,3.17,-0.0442,232.5,-0.00423,0.0012,0.00031,-0.00089,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
