,x_B,Q^2,t,phi,value,stat_u,syst_u (upper limit),syst_u (lower limit),col,obs,units,target,beam,RS
0,0.363,3.17,-0.0442,7.5,0.0468,0.0015,0.0016,-0.0015,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
1,0.363,3.17,-0.0442,22.5,0.043,0.0015,0.0014,-0.0015,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
2,0.363,3.17,-0.0442,37.5,0.0412,0.0014,0.0013,-0.0015,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
3,0.363,3.17,-0.0442,52.5,0.0369,0.0013,0.0015,-0.0012,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
4,0.363,3.17,-0.0442,67.5,0.0353,0.0012,0.0011,-0.0011,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
5,0.363,3.17,-0.0442,82.5,0.03,0.0012,0.0012,-0.00094,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
6,0.363,3.17,-0.0442,97.5,0.027,0.0011,0.0011,-0.00089,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
7,0.363,3.17,-0.0442,112.5,0.023,0.00097,0.00075,-0.00079,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
8,0.363,3.17,-0.0442,127.5,0.0226,0.00096,0.001,-0.00084,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
9,0.363,3.17,-0.0442,142.5,0.0212,0.00094,0.00077,-0.00072,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
10,0.363,3.17,-0.0442,157.5,0.0206,0.00092,0.00081,-0.00062,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
11,0.363,3.17,-0.0442,172.5,0.0197,0.00088,0.00074,-0.00065,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
12,0.363,3.17,-0.0442,187.5,0.0212,0.00093,0.00065,-0.00081,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
13,0.363,3.17,-0.0442,202.5,0.021,0.00093,0.00067,-0.00072,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
14,0.363,3.17,-0.0442,217.5,0.0206,0.00093,0.00063,-0.001,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
15,0.363,3.17,-0.0442,232.5,0.0206,0.00094,0.00068,-0.0007,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
16,0.363,3.17,-0.0442,247.5,0.0246,0.001,0.00078,-0.00088,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
17,0.363,3.17,-0.0442,262.5,0.0272,0.0011,0.001,-0.00088,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
18,0.363,3.17,-0.0442,277.5,0.0289,0.0011,0.0011,-0.00087,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
19,0.363,3.17,-0.0442,292.5,0.0359,0.0013,0.0013,-0.0011,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
20,0.363,3.17,-0.0442,307.5,0.0393,0.0013,0.0012,-0.0013,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
21,0.363,3.17,-0.0442,322.5,0.0428,0.0014,0.0014,-0.0016,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
22,0.363,3.17,-0.0442,337.5,0.0467,0.0015,0.0014,-0.0016,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
23,0.363,3.17,-0.0442,352.5,0.0504,0.0015,0.0016,-0.0017,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
24,0.363,3.17,-0.13,7.5,0.0437,0.0017,0.0015,-0.0017,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
25,0.363,3.17,-0.13,22.5,0.0384,0.0016,0.0016,-0.0012,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
26,0.363,3.17,-0.13,37.5,0.0359,0.0015,0.0015,-0.0011,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
27,0.363,3.17,-0.13,52.5,0.0316,0.0013,0.0013,-0.0011,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
28,0.363,3.17,-0.13,67.5,0.0243,0.0011,0.00081,-0.00081,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
29,0.363,3.17,-0.13,82.5,0.0206,0.001,0.00063,-0.0008,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
30,0.363,3.17,-0.13,97.5,0.0177,0.0009,0.00079,-0.00068,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
31,0.363,3.17,-0.13,112.5,0.0151,0.00081,0.00057,-0.00051,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
32,0.363,3.17,-0.13,127.5,0.013,0.00076,0.00053,-0.0004,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
33,0.363,3.17,-0.13,142.5,0.0135,0.00077,0.00049,-0.00044,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
34,0.363,3.17,-0.13,157.5,0.0107,0.00069,0.0004,-0.00042,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
35,0.363,3.17,-0.13,172.5,0.0112,0.00071,0.00055,-0.00034,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
36,0.363,3.17,-0.13,187.5,0.0115,0.00072,0.00042,-0.00037,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
37,0.363,3.17,-0.13,202.5,0.0132,0.00076,0.00056,-0.00043,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
38,0.363,3.17,-0.13,217.5,0.014,0.00079,0.00061,-0.00055,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
39,0.363,3.17,-0.13,232.5,0.0144,0.00084,0.00049,-0.00058,Jlab,HelicityIndepCrossSection,nb/GeV^4,Proton,e-,
