,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.17,-0.23,1.22,1.5,deg,ALU,-0.0051,none,0.0056,0.087,3,CLAS,e-,4.8,p,0.93827208816
1,0.17,-0.23,1.22,6.5,deg,ALU,0.0289,none,0.0139,0.087,3,CLAS,e-,4.8,p,0.93827208816
2,0.17,-0.23,1.22,22.5,deg,ALU,0.0794,none,0.0221,0.087,3,CLAS,e-,4.8,p,0.93827208816
3,0.17,-0.23,1.22,52.5,deg,ALU,0.1427,none,0.0381,0.087,3,CLAS,e-,4.8,p,0.93827208816
4,0.17,-0.23,1.22,102.5,deg,ALU,0.2028,none,0.0589,0.087,3,CLAS,e-,4.8,p,0.93827208816
5,0.17,-0.23,1.22,180.0,deg,ALU,0.0227,none,0.1062,0.087,3,CLAS,e-,4.8,p,0.93827208816
6,0.17,-0.23,1.22,257.5,deg,ALU,-0.1394,none,0.0582,0.087,3,CLAS,e-,4.8,p,0.93827208816
7,0.17,-0.23,1.22,307.5,deg,ALU,-0.1662,none,0.0431,0.087,3,CLAS,e-,4.8,p,0.93827208816
8,0.17,-0.23,1.22,337.5,deg,ALU,-0.0862,none,0.0203,0.087,3,CLAS,e-,4.8,p,0.93827208816
9,0.17,-0.23,1.22,353.5,deg,ALU,-0.0147,none,0.0135,0.087,3,CLAS,e-,4.8,p,0.93827208816
10,0.17,-0.23,1.22,358.5,deg,ALU,-0.0032,none,0.0063,0.087,3,CLAS,e-,4.8,p,0.93827208816
11,0.2,-0.26,1.51,1.5,deg,ALU,0.0007,none,0.0055,0.087,3,CLAS,e-,4.8,p,0.93827208816
12,0.2,-0.26,1.51,6.5,deg,ALU,-0.0005,none,0.0134,0.087,3,CLAS,e-,4.8,p,0.93827208816
13,0.2,-0.26,1.51,22.5,deg,ALU,0.066,none,0.0196,0.087,3,CLAS,e-,4.8,p,0.93827208816
14,0.2,-0.26,1.51,52.5,deg,ALU,0.1826,none,0.0322,0.087,3,CLAS,e-,4.8,p,0.93827208816
15,0.2,-0.26,1.51,102.5,deg,ALU,0.208,none,0.0475,0.087,3,CLAS,e-,4.8,p,0.93827208816
16,0.2,-0.26,1.51,180.0,deg,ALU,0.0703,none,0.1146,0.087,3,CLAS,e-,4.8,p,0.93827208816
17,0.2,-0.26,1.51,257.5,deg,ALU,-0.2592,none,0.0539,0.087,3,CLAS,e-,4.8,p,0.93827208816
18,0.2,-0.26,1.51,307.5,deg,ALU,-0.2173,none,0.0337,0.087,3,CLAS,e-,4.8,p,0.93827208816
19,0.2,-0.26,1.51,337.5,deg,ALU,-0.0631,none,0.0185,0.087,3,CLAS,e-,4.8,p,0.93827208816
20,0.2,-0.26,1.51,353.5,deg,ALU,0.013,none,0.0129,0.087,3,CLAS,e-,4.8,p,0.93827208816
21,0.2,-0.26,1.51,358.5,deg,ALU,-0.0001,none,0.0058,0.087,3,CLAS,e-,4.8,p,0.93827208816
22,0.28,-0.38,2.04,1.5,deg,ALU,0.0021,none,0.006,0.087,3,CLAS,e-,4.8,p,0.93827208816
23,0.28,-0.38,2.04,6.5,deg,ALU,0.0315,none,0.0154,0.087,3,CLAS,e-,4.8,p,0.93827208816
24,0.28,-0.38,2.04,22.5,deg,ALU,0.1054,none,0.0217,0.087,3,CLAS,e-,4.8,p,0.93827208816
25,0.28,-0.38,2.04,52.5,deg,ALU,0.1544,none,0.0454,0.087,3,CLAS,e-,4.8,p,0.93827208816
26,0.28,-0.38,2.04,102.5,deg,ALU,0.2237,none,0.075,0.087,3,CLAS,e-,4.8,p,0.93827208816
27,0.28,-0.38,2.04,180.0,deg,ALU,0.0071,none,0.1307,0.087,3,CLAS,e-,4.8,p,0.93827208816
28,0.28,-0.38,2.04,257.5,deg,ALU,-0.1471,none,0.0906,0.087,3,CLAS,e-,4.8,p,0.93827208816
29,0.28,-0.38,2.04,307.5,deg,ALU,-0.1451,none,0.0463,0.087,3,CLAS,e-,4.8,p,0.93827208816
30,0.28,-0.38,2.04,337.5,deg,ALU,-0.0643,none,0.022,0.087,3,CLAS,e-,4.8,p,0.93827208816
31,0.28,-0.38,2.04,353.5,deg,ALU,-0.0308,none,0.0158,0.087,3,CLAS,e-,4.8,p,0.93827208816
32,0.28,-0.38,2.04,358.5,deg,ALU,0.0006,none,0.0063,0.087,3,CLAS,e-,4.8,p,0.93827208816
