,Unnamed: 0,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0,0.345,-0.17,1.453,7.5,deg,deltad4SigLU,0.8,pb GeV^-4,7.9,+1.0/-3.0,3.4,Hall A,e-,5.7572,p,0.93827208816
1,1,0.345,-0.17,1.453,22.5,deg,deltad4SigLU,5.2,pb GeV^-4,7.1,+0.0/-9.4,3.4,Hall A,e-,5.7572,p,0.93827208816
2,2,0.345,-0.17,1.453,37.5,deg,deltad4SigLU,16.5,pb GeV^-4,6.3,+0.0/-0.7,3.4,Hall A,e-,5.7572,p,0.93827208816
3,3,0.345,-0.17,1.453,52.5,deg,deltad4SigLU,18.8,pb GeV^-4,5.2,+1.1/-1.1,3.4,Hall A,e-,5.7572,p,0.93827208816
4,4,0.345,-0.17,1.453,67.5,deg,deltad4SigLU,19.9,pb GeV^-4,4.5,+2.6/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
5,5,0.345,-0.17,1.453,82.5,deg,deltad4SigLU,14.0,pb GeV^-4,4.0,+1.6/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
6,6,0.345,-0.17,1.453,97.5,deg,deltad4SigLU,15.8,pb GeV^-4,3.8,+0.0/-2.8,3.4,Hall A,e-,5.7572,p,0.93827208816
7,7,0.345,-0.17,1.453,112.5,deg,deltad4SigLU,15.9,pb GeV^-4,3.6,+1.9/-0.2,3.4,Hall A,e-,5.7572,p,0.93827208816
8,8,0.345,-0.17,1.453,127.5,deg,deltad4SigLU,12.7,pb GeV^-4,3.3,+1.5/-0.3,3.4,Hall A,e-,5.7572,p,0.93827208816
9,9,0.345,-0.17,1.453,142.5,deg,deltad4SigLU,10.0,pb GeV^-4,3.1,+0.0/-3.0,3.4,Hall A,e-,5.7572,p,0.93827208816
10,10,0.345,-0.17,1.453,157.5,deg,deltad4SigLU,6.8,pb GeV^-4,2.9,+3.0/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
11,11,0.345,-0.17,1.453,172.5,deg,deltad4SigLU,-3.5,pb GeV^-4,2.8,+0.4/-1.6,3.4,Hall A,e-,5.7572,p,0.93827208816
12,12,0.345,-0.17,1.453,187.5,deg,deltad4SigLU,-1.9,pb GeV^-4,2.8,+1.1/-0.3,3.4,Hall A,e-,5.7572,p,0.93827208816
13,13,0.345,-0.17,1.453,202.5,deg,deltad4SigLU,-5.3,pb GeV^-4,2.9,+1.1/-0.3,3.4,Hall A,e-,5.7572,p,0.93827208816
14,14,0.345,-0.17,1.453,217.5,deg,deltad4SigLU,-4.4,pb GeV^-4,3.0,+2.0/-0.8,3.4,Hall A,e-,5.7572,p,0.93827208816
15,15,0.345,-0.17,1.453,232.5,deg,deltad4SigLU,-8.0,pb GeV^-4,3.2,+1.1/-0.4,3.4,Hall A,e-,5.7572,p,0.93827208816
16,16,0.345,-0.17,1.453,247.5,deg,deltad4SigLU,-11.8,pb GeV^-4,3.4,+0.0/-5.7,3.4,Hall A,e-,5.7572,p,0.93827208816
17,17,0.345,-0.17,1.453,262.5,deg,deltad4SigLU,-11.3,pb GeV^-4,3.6,+0.0/-3.4,3.4,Hall A,e-,5.7572,p,0.93827208816
18,18,0.345,-0.17,1.453,277.5,deg,deltad4SigLU,-24.0,pb GeV^-4,3.9,+2.4/-0.2,3.4,Hall A,e-,5.7572,p,0.93827208816
19,19,0.345,-0.17,1.453,292.5,deg,deltad4SigLU,-26.5,pb GeV^-4,4.4,+2.4/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
20,20,0.345,-0.17,1.453,307.5,deg,deltad4SigLU,-16.6,pb GeV^-4,5.0,+5.2/-1.5,3.4,Hall A,e-,5.7572,p,0.93827208816
21,21,0.345,-0.17,1.453,322.5,deg,deltad4SigLU,-18.7,pb GeV^-4,6.0,+4.7/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
22,22,0.345,-0.17,1.453,337.5,deg,deltad4SigLU,-5.7,pb GeV^-4,6.9,+2.7/-2.3,3.4,Hall A,e-,5.7572,p,0.93827208816
23,23,0.345,-0.17,1.453,352.5,deg,deltad4SigLU,-1.4,pb GeV^-4,7.6,+1.6/-1.9,3.4,Hall A,e-,5.7572,p,0.93827208816
24,24,0.374,-0.232,1.552,7.5,deg,deltad4SigLU,5.7,pb GeV^-4,7.9,+0.0/-3.8,3.4,Hall A,e-,5.7572,p,0.93827208816
25,25,0.374,-0.232,1.552,22.5,deg,deltad4SigLU,-2.2,pb GeV^-4,7.1,+8.4/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
26,26,0.374,-0.232,1.552,37.5,deg,deltad4SigLU,4.3,pb GeV^-4,6.1,+1.9/-3.4,3.4,Hall A,e-,5.7572,p,0.93827208816
27,27,0.374,-0.232,1.552,52.5,deg,deltad4SigLU,13.4,pb GeV^-4,5.1,+3.2/-1.2,3.4,Hall A,e-,5.7572,p,0.93827208816
28,28,0.374,-0.232,1.552,67.5,deg,deltad4SigLU,12.4,pb GeV^-4,4.6,+0.0/-4.0,3.4,Hall A,e-,5.7572,p,0.93827208816
29,29,0.374,-0.232,1.552,82.5,deg,deltad4SigLU,12.2,pb GeV^-4,3.8,+1.0/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
30,30,0.374,-0.232,1.552,97.5,deg,deltad4SigLU,8.3,pb GeV^-4,3.5,+1.6/-1.1,3.4,Hall A,e-,5.7572,p,0.93827208816
31,31,0.374,-0.232,1.552,112.5,deg,deltad4SigLU,13.6,pb GeV^-4,3.3,+0.7/-1.7,3.4,Hall A,e-,5.7572,p,0.93827208816
32,32,0.374,-0.232,1.552,127.5,deg,deltad4SigLU,6.7,pb GeV^-4,3.1,+0.0/-4.9,3.4,Hall A,e-,5.7572,p,0.93827208816
33,33,0.374,-0.232,1.552,142.5,deg,deltad4SigLU,7.7,pb GeV^-4,2.8,+0.0/-3.4,3.4,Hall A,e-,5.7572,p,0.93827208816
34,34,0.374,-0.232,1.552,157.5,deg,deltad4SigLU,3.0,pb GeV^-4,2.7,+1.1/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
35,35,0.374,-0.232,1.552,172.5,deg,deltad4SigLU,-1.6,pb GeV^-4,2.7,+1.5/-0.3,3.4,Hall A,e-,5.7572,p,0.93827208816
36,36,0.374,-0.232,1.552,187.5,deg,deltad4SigLU,1.0,pb GeV^-4,2.6,+1.0/-0.4,3.4,Hall A,e-,5.7572,p,0.93827208816
37,37,0.374,-0.232,1.552,202.5,deg,deltad4SigLU,-1.8,pb GeV^-4,2.8,+4.0/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
