,Unnamed: 0,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0,0.343,-0.172,1.82,7.5,deg,d4SigUU,111.6,pb GeV^-4,4.1,+2.3/-0.0,2.8,Hall A,e-,5.7572,p,0.93827208816
1,1,0.343,-0.172,1.82,22.5,deg,d4SigUU,117.6,pb GeV^-4,3.9,+0.7/-0.3,2.8,Hall A,e-,5.7572,p,0.93827208816
2,2,0.343,-0.172,1.82,37.5,deg,d4SigUU,99.8,pb GeV^-4,3.5,+0.3/-0.5,2.8,Hall A,e-,5.7572,p,0.93827208816
3,3,0.343,-0.172,1.82,52.5,deg,d4SigUU,94.1,pb GeV^-4,3.3,+0.0/-3.4,2.8,Hall A,e-,5.7572,p,0.93827208816
4,4,0.343,-0.172,1.82,67.5,deg,d4SigUU,88.2,pb GeV^-4,3.0,+0.0/-2.1,2.8,Hall A,e-,5.7572,p,0.93827208816
5,5,0.343,-0.172,1.82,82.5,deg,d4SigUU,78.7,pb GeV^-4,2.8,+0.4/-0.4,2.8,Hall A,e-,5.7572,p,0.93827208816
6,6,0.343,-0.172,1.82,97.5,deg,d4SigUU,67.2,pb GeV^-4,2.6,+3.6/-0.0,2.8,Hall A,e-,5.7572,p,0.93827208816
7,7,0.343,-0.172,1.82,112.5,deg,d4SigUU,60.8,pb GeV^-4,2.4,+0.5/-1.3,2.8,Hall A,e-,5.7572,p,0.93827208816
8,8,0.343,-0.172,1.82,127.5,deg,d4SigUU,57.5,pb GeV^-4,2.3,+0.0/-2.3,2.8,Hall A,e-,5.7572,p,0.93827208816
9,9,0.343,-0.172,1.82,142.5,deg,d4SigUU,50.1,pb GeV^-4,2.1,+0.2/-0.8,2.8,Hall A,e-,5.7572,p,0.93827208816
10,10,0.343,-0.172,1.82,157.5,deg,d4SigUU,49.9,pb GeV^-4,2.1,+0.0/-0.9,2.8,Hall A,e-,5.7572,p,0.93827208816
11,11,0.343,-0.172,1.82,172.5,deg,d4SigUU,48.1,pb GeV^-4,2.0,+0.0/-2.0,2.8,Hall A,e-,5.7572,p,0.93827208816
12,12,0.343,-0.172,1.82,187.5,deg,d4SigUU,48.3,pb GeV^-4,2.0,+0.0/-1.5,2.8,Hall A,e-,5.7572,p,0.93827208816
13,13,0.343,-0.172,1.82,202.5,deg,d4SigUU,53.2,pb GeV^-4,2.1,+0.0/-1.6,2.8,Hall A,e-,5.7572,p,0.93827208816
