,Unnamed: 0,xB,Q2,t,phi,deg/rad,value,stat_u,syst_u,col,obs,units,hadron,lepton,E_lepton,E_hadron
0,0,0.126,1.11,-0.11,68.33,deg,8.9354,0.5418,0.7223,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
1,1,0.126,1.11,-0.11,82.35,deg,5.7024,0.2823,0.3494,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
2,2,0.126,1.11,-0.11,97.13,deg,3.5973,0.204,0.2525,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
3,3,0.126,1.11,-0.11,112.2,deg,2.9545,0.2122,0.1979,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
4,4,0.126,1.11,-0.11,127.27,deg,2.604,0.1803,0.2255,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
5,5,0.126,1.11,-0.11,142.33,deg,2.1674,0.1402,0.1421,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
6,6,0.126,1.11,-0.11,157.4,deg,2.1833,0.1464,0.1295,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
7,7,0.126,1.11,-0.11,172.47,deg,1.9659,0.1725,0.1965,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
8,8,0.126,1.11,-0.11,187.53,deg,2.3694,0.1673,0.2242,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
9,9,0.126,1.11,-0.11,202.6,deg,2.1443,0.1377,0.1475,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
10,10,0.126,1.11,-0.11,217.67,deg,2.4837,0.1629,0.2342,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
11,11,0.126,1.11,-0.11,232.73,deg,2.4709,0.1904,0.184,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
12,12,0.126,1.11,-0.11,247.8,deg,3.0839,0.1776,0.2447,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
13,13,0.126,1.11,-0.11,262.87,deg,3.4295,0.1893,0.2189,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
14,14,0.126,1.11,-0.11,277.65,deg,5.3907,0.2922,0.372,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
15,15,0.126,1.11,-0.11,291.67,deg,9.0739,0.5655,0.942,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
16,16,0.126,1.11,-0.15,68.12,deg,5.0617,0.4033,0.2938,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
17,17,0.126,1.11,-0.15,82.03,deg,3.1358,0.1995,0.4105,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
18,18,0.126,1.11,-0.15,97.11,deg,2.498,0.1521,0.1694,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
19,19,0.126,1.11,-0.15,112.18,deg,1.7895,0.134,0.1277,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
20,20,0.126,1.11,-0.15,127.26,deg,1.345,0.1137,0.1315,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
21,21,0.126,1.11,-0.15,142.33,deg,1.3565,0.0931,0.1128,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
22,22,0.126,1.11,-0.15,157.4,deg,1.3242,0.0923,0.0954,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
23,23,0.126,1.11,-0.15,172.47,deg,1.2156,0.1056,0.1697,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
24,24,0.126,1.11,-0.15,187.53,deg,1.2164,0.0995,0.1079,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
25,25,0.126,1.11,-0.15,202.6,deg,1.2284,0.0879,0.0807,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
26,26,0.126,1.11,-0.15,217.67,deg,1.2196,0.0892,0.067,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
27,27,0.126,1.11,-0.15,232.74,deg,1.3916,0.1202,0.0865,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
28,28,0.126,1.11,-0.15,247.82,deg,1.6852,0.1232,0.1837,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
29,29,0.126,1.11,-0.15,262.89,deg,2.1674,0.1379,0.1314,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
30,30,0.126,1.11,-0.15,277.97,deg,3.6278,0.2195,0.2482,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
31,31,0.126,1.11,-0.15,291.88,deg,4.8063,0.3726,0.3976,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
32,32,0.126,1.11,-0.2,67.53,deg,3.1688,0.3298,0.4738,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
33,33,0.126,1.11,-0.2,82.0,deg,2.4884,0.1935,0.1799,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
34,34,0.126,1.11,-0.2,97.09,deg,1.6622,0.1287,0.1248,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
35,35,0.126,1.11,-0.2,112.17,deg,1.2373,0.1092,0.1257,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
36,36,0.126,1.11,-0.2,127.25,deg,0.8238,0.0904,0.1178,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
37,37,0.126,1.11,-0.2,142.32,deg,0.7833,0.0705,0.1369,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
38,38,0.126,1.11,-0.2,157.39,deg,0.8914,0.0736,0.0575,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
39,39,0.126,1.11,-0.2,172.46,deg,0.74,0.0786,0.0817,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
40,40,0.126,1.11,-0.2,187.54,deg,0.7966,0.086,0.1386,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
41,41,0.126,1.11,-0.2,202.61,deg,0.6193,0.0598,0.053,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
42,42,0.126,1.11,-0.2,217.68,deg,0.7481,0.0658,0.0948,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
43,43,0.126,1.11,-0.2,232.75,deg,0.9311,0.0931,0.0677,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
44,44,0.126,1.11,-0.2,247.83,deg,0.999,0.0967,0.1017,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
45,45,0.126,1.11,-0.2,262.91,deg,1.536,0.1214,0.1171,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
46,46,0.126,1.11,-0.2,278.0,deg,1.834,0.1551,0.361,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
47,47,0.126,1.11,-0.2,292.47,deg,2.8245,0.2851,0.396,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
48,48,0.126,1.11,-0.26,55.41,deg,2.2281,0.2864,0.3472,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
49,49,0.126,1.11,-0.26,66.94,deg,2.2591,0.2104,0.2915,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
50,50,0.126,1.11,-0.26,81.98,deg,1.2245,0.1087,0.1177,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
51,51,0.126,1.11,-0.26,97.08,deg,0.7881,0.0707,0.0826,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
52,52,0.126,1.11,-0.26,112.16,deg,0.7875,0.0663,0.1246,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
53,53,0.126,1.11,-0.26,127.24,deg,0.5334,0.0598,0.0721,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
54,54,0.126,1.11,-0.26,142.32,deg,0.485,0.0471,0.0294,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
55,55,0.126,1.11,-0.26,157.39,deg,0.5123,0.0463,0.0366,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
56,56,0.126,1.11,-0.26,172.46,deg,0.5262,0.0519,0.0413,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
