,Unnamed: 0,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0,0.359,-0.18,1.51,15.0,deg,deltad4SigLU,3.55,pb GeV^-4,6.7,0.1136,3,HallA,e-,5.55,p,0.93827208816
1,1,0.359,-0.18,1.51,45.0,deg,deltad4SigLU,11.7,pb GeV^-4,6.4,0.3744,3,HallA,e-,5.55,p,0.93827208816
2,2,0.359,-0.18,1.51,75.0,deg,deltad4SigLU,11.6,pb GeV^-4,6.0,0.3712,3,HallA,e-,5.55,p,0.93827208816
3,3,0.359,-0.18,1.51,105.0,deg,deltad4SigLU,0.877,pb GeV^-4,5.5,0.028064,3,HallA,e-,5.55,p,0.93827208816
4,4,0.359,-0.18,1.51,135.0,deg,deltad4SigLU,14.4,pb GeV^-4,5.2,0.4608,3,HallA,e-,5.55,p,0.93827208816
5,5,0.359,-0.18,1.51,165.0,deg,deltad4SigLU,9.2,pb GeV^-4,5.1,0.2944,3,HallA,e-,5.55,p,0.93827208816
6,6,0.359,-0.18,1.51,195.0,deg,deltad4SigLU,5.39,pb GeV^-4,5.2,0.17248,3,HallA,e-,5.55,p,0.93827208816
7,7,0.359,-0.18,1.51,225.0,deg,deltad4SigLU,-2.99,pb GeV^-4,5.3,0.09568,3,HallA,e-,5.55,p,0.93827208816
8,8,0.359,-0.18,1.51,255.0,deg,deltad4SigLU,-12.7,pb GeV^-4,5.6,0.4064,3,HallA,e-,5.55,p,0.93827208816
9,9,0.359,-0.18,1.51,285.0,deg,deltad4SigLU,-8.69,pb GeV^-4,6.0,0.27808,3,HallA,e-,5.55,p,0.93827208816
10,10,0.359,-0.18,1.51,315.0,deg,deltad4SigLU,-3.48,pb GeV^-4,6.4,0.11136,3,HallA,e-,5.55,p,0.93827208816
11,11,0.359,-0.18,1.51,345.0,deg,deltad4SigLU,-6.33,pb GeV^-4,6.6,0.20256,3,HallA,e-,5.55,p,0.93827208816
12,12,0.359,-0.237,1.51,15.0,deg,deltad4SigLU,10.5,pb GeV^-4,6.8,0.336,3,HallA,e-,5.55,p,0.93827208816
13,13,0.359,-0.237,1.51,45.0,deg,deltad4SigLU,21.9,pb GeV^-4,6.2,0.7008,3,HallA,e-,5.55,p,0.93827208816
14,14,0.359,-0.237,1.51,75.0,deg,deltad4SigLU,13.4,pb GeV^-4,5.7,0.4288,3,HallA,e-,5.55,p,0.93827208816
15,15,0.359,-0.237,1.51,105.0,deg,deltad4SigLU,14.1,pb GeV^-4,5.3,0.4512,3,HallA,e-,5.55,p,0.93827208816
16,16,0.359,-0.237,1.51,135.0,deg,deltad4SigLU,1.21,pb GeV^-4,4.9,0.03872,3,HallA,e-,5.55,p,0.93827208816
17,17,0.359,-0.237,1.51,165.0,deg,deltad4SigLU,1.08,pb GeV^-4,5.1,0.03456,3,HallA,e-,5.55,p,0.93827208816
18,18,0.359,-0.237,1.51,195.0,deg,deltad4SigLU,-1.79,pb GeV^-4,5.1,0.05728,3,HallA,e-,5.55,p,0.93827208816
19,19,0.359,-0.237,1.51,225.0,deg,deltad4SigLU,1.09,pb GeV^-4,5.1,0.03488,3,HallA,e-,5.55,p,0.93827208816
20,20,0.359,-0.237,1.51,255.0,deg,deltad4SigLU,-11.4,pb GeV^-4,5.5,0.3648,3,HallA,e-,5.55,p,0.93827208816
21,21,0.359,-0.237,1.51,285.0,deg,deltad4SigLU,-11.5,pb GeV^-4,5.9,0.368,3,HallA,e-,5.55,p,0.93827208816
