,Unnamed: 0,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0,0.11,-0.27,2.6,-161.9952222063026,deg,ALU,0.0,none,0.12,0.021,HERMES,e+,27.6,p,0.93827208816
1,1,0.11,-0.27,2.6,-125.9962839382354,deg,ALU,0.432,none,0.102,0.021,HERMES,e+,27.6,p,0.93827208816
2,2,0.11,-0.27,2.6,-89.99734567016814,deg,ALU,0.177,none,0.099,0.021,HERMES,e+,27.6,p,0.93827208816
3,3,0.11,-0.27,2.6,-53.99840740210088,deg,ALU,0.306,none,0.086,0.021,HERMES,e+,27.6,p,0.93827208816
4,4,0.11,-0.27,2.6,-17.99946913403362,deg,ALU,0.1,none,0.077,0.021,HERMES,e+,27.6,p,0.93827208816
5,5,0.11,-0.27,2.6,17.99946913403362,deg,ALU,-0.084,none,0.079,0.021,HERMES,e+,27.6,p,0.93827208816
6,6,0.11,-0.27,2.6,53.99840740210088,deg,ALU,-0.164,none,0.086,0.021,HERMES,e+,27.6,p,0.93827208816
7,7,0.11,-0.27,2.6,89.99734567016814,deg,ALU,-0.131,none,0.101,0.021,HERMES,e+,27.6,p,0.93827208816
8,8,0.11,-0.27,2.6,125.9962839382354,deg,ALU,-0.21,none,0.116,0.021,HERMES,e+,27.6,p,0.93827208816
9,9,0.11,-0.27,2.6,161.9952222063026,deg,ALU,-0.159,none,0.117,0.021,HERMES,e+,27.6,p,0.93827208816
