,E_lepton,E_hadron,lepton,hadron,col,t,Q2,xB,phi,deg/rad,bin,obs,units,value,err_low,err_high,err_u
0,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,15,deg,0,deltad4SigLU,pb GeV^-4,5.7794,33.8277,25.6355,33.8277
1,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,45,deg,0,deltad4SigLU,pb GeV^-4,1.51321,11.6618,10.6732,11.6618
2,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,75,deg,0,deltad4SigLU,pb GeV^-4,-4.05072,12.6432,8.88273,12.6432
3,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,105,deg,0,deltad4SigLU,pb GeV^-4,2.33202,4.76137,4.81276,4.81276
4,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,135,deg,0,deltad4SigLU,pb GeV^-4,0.993,3.00934,2.56243,3.00934
5,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,165,deg,0,deltad4SigLU,pb GeV^-4,2.58577,7.1606,5.2295,7.1606
6,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,195,deg,0,deltad4SigLU,pb GeV^-4,-0.0389867,2.64841,3.05284,3.05284
7,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,225,deg,0,deltad4SigLU,pb GeV^-4,1.2498,4.30997,5.45338,5.45338
8,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,255,deg,0,deltad4SigLU,pb GeV^-4,2.26248,6.01831,5.4842,6.01831
9,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,285,deg,0,deltad4SigLU,pb GeV^-4,4.22454,7.85685,10.4879,10.4879
10,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,315,deg,0,deltad4SigLU,pb GeV^-4,40.6237,62.0531,60.3784,62.0531
11,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,345,deg,0,deltad4SigLU,pb GeV^-4,7.31572,25.7709,23.7716,25.7709
12,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,15,deg,1,deltad4SigLU,pb GeV^-4,-25.2276,20.2343,18.7383,20.2343
13,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,45,deg,1,deltad4SigLU,pb GeV^-4,5.71911,16.283,15.4703,16.283
14,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,75,deg,1,deltad4SigLU,pb GeV^-4,-3.35838,11.953,12.8685,12.8685
15,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,105,deg,1,deltad4SigLU,pb GeV^-4,4.08811,10.0902,9.17371,10.0902
16,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,135,deg,1,deltad4SigLU,pb GeV^-4,3.0598,6.05162,5.81098,6.05162
17,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,165,deg,1,deltad4SigLU,pb GeV^-4,-7.00084,7.28639,7.22659,7.28639
