,E_lepton,E_hadron,lepton,hadron,col,t,Q2,xB,deg/rad,phi,bin,obs,units,value,err_low,err_high,err_u
0,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,10.5,0,deltad4SigLU,pb GeV^-4,-0.759838,0.615175,0.596192,0.6056835
1,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,25.5,0,deltad4SigLU,pb GeV^-4,-2.18238,1.76688,1.71236,1.73962
2,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,40.5,0,deltad4SigLU,pb GeV^-4,-3.33882,2.70315,2.61974,2.661445
3,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,55.5,0,deltad4SigLU,pb GeV^-4,-4.12394,3.33879,3.23577,3.28728
4,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,70.5,0,deltad4SigLU,pb GeV^-4,-4.50729,3.64915,3.53655,3.59285
5,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,85.5,0,deltad4SigLU,pb GeV^-4,-4.51891,3.65857,3.54567,3.60212
6,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,100.5,0,deltad4SigLU,pb GeV^-4,-4.22349,3.41939,3.31388,3.366635
7,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,115.5,0,deltad4SigLU,pb GeV^-4,-3.69603,2.99235,2.90002,2.946185
8,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,130.5,0,deltad4SigLU,pb GeV^-4,-3.00579,2.43352,2.35843,2.395975
9,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,145.5,0,deltad4SigLU,pb GeV^-4,-2.20899,1.78843,1.73325,1.76084
10,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,160.5,0,deltad4SigLU,pb GeV^-4,-1.34777,1.09117,1.0575,1.074335
11,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,175.5,0,deltad4SigLU,pb GeV^-4,-0.452737,0.366541,0.355231,0.360886
12,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,190.5,0,deltad4SigLU,pb GeV^-4,0.452737,0.366541,0.355231,0.360886
13,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,205.5,0,deltad4SigLU,pb GeV^-4,1.34777,1.09117,1.0575,1.074335
14,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,220.5,0,deltad4SigLU,pb GeV^-4,2.20899,1.78843,1.73325,1.76084
15,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,235.5,0,deltad4SigLU,pb GeV^-4,3.00579,2.43352,2.35843,2.395975
16,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,250.5,0,deltad4SigLU,pb GeV^-4,3.69603,2.99235,2.90002,2.946185
17,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,265.5,0,deltad4SigLU,pb GeV^-4,4.22349,3.41939,3.31388,3.366635
18,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,280.5,0,deltad4SigLU,pb GeV^-4,4.51891,3.65857,3.54567,3.60212
19,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,295.5,0,deltad4SigLU,pb GeV^-4,4.50729,3.64915,3.53655,3.59285
20,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,310.5,0,deltad4SigLU,pb GeV^-4,4.12394,3.33879,3.23577,3.28728
21,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,325.5,0,deltad4SigLU,pb GeV^-4,3.33882,2.70315,2.61974,2.661445
22,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,340.5,0,deltad4SigLU,pb GeV^-4,2.18238,1.76688,1.71236,1.73962
23,5.757,0.939565422,e-,n,JLab E08-025,-0.1658,1.9,0.36,deg,355.5,0,deltad4SigLU,pb GeV^-4,0.759838,0.615175,0.596192,0.6056835
24,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,10.5,1,deltad4SigLU,pb GeV^-4,0.981649,1.1401,1.06063,1.100365
25,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,25.5,1,deltad4SigLU,pb GeV^-4,2.69167,3.12613,2.90823,3.01718
26,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,40.5,1,deltad4SigLU,pb GeV^-4,3.79076,4.40262,4.09574,4.24918
27,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,55.5,1,deltad4SigLU,pb GeV^-4,4.21891,4.89989,4.55834,4.729115
28,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,70.5,1,deltad4SigLU,pb GeV^-4,4.12634,4.79238,4.45833,4.625355
29,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,85.5,1,deltad4SigLU,pb GeV^-4,3.71696,4.31692,4.01602,4.16647
30,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,100.5,1,deltad4SigLU,pb GeV^-4,3.15543,3.66476,3.40931,3.537035
31,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,115.5,1,deltad4SigLU,pb GeV^-4,2.54499,2.95578,2.74975,2.852765
32,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,130.5,1,deltad4SigLU,pb GeV^-4,1.93866,2.25158,2.09464,2.17311
33,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,145.5,1,deltad4SigLU,pb GeV^-4,1.35689,1.5759,1.46606,1.52098
34,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,160.5,1,deltad4SigLU,pb GeV^-4,0.801556,0.930937,0.866047,0.898492
35,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,175.5,1,deltad4SigLU,pb GeV^-4,0.264966,0.307734,0.286284,0.297009
36,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,190.5,1,deltad4SigLU,pb GeV^-4,-0.264966,0.307734,0.286284,0.297009
37,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,205.5,1,deltad4SigLU,pb GeV^-4,-0.801556,0.930937,0.866047,0.898492
38,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,220.5,1,deltad4SigLU,pb GeV^-4,-1.35689,1.5759,1.46606,1.52098
39,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,235.5,1,deltad4SigLU,pb GeV^-4,-1.93866,2.25158,2.09464,2.17311
40,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,250.5,1,deltad4SigLU,pb GeV^-4,-2.54499,2.95578,2.74975,2.852765
41,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,265.5,1,deltad4SigLU,pb GeV^-4,-3.15543,3.66476,3.40931,3.537035
42,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,280.5,1,deltad4SigLU,pb GeV^-4,-3.71696,4.31692,4.01602,4.16647
43,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,295.5,1,deltad4SigLU,pb GeV^-4,-4.12634,4.79238,4.45833,4.625355
44,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,310.5,1,deltad4SigLU,pb GeV^-4,-4.21891,4.89989,4.55834,4.729115
45,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,325.5,1,deltad4SigLU,pb GeV^-4,-3.79076,4.40262,4.09574,4.24918
46,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,340.5,1,deltad4SigLU,pb GeV^-4,-2.69167,3.12613,2.90823,3.01718
47,5.757,0.939565422,e-,n,JLab E08-025,-0.2225,1.9,0.36,deg,355.5,1,deltad4SigLU,pb GeV^-4,-0.981649,1.1401,1.06063,1.100365
48,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,10.5,2,deltad4SigLU,pb GeV^-4,-0.269969,1.74669,1.45599,1.60134
49,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,25.5,2,deltad4SigLU,pb GeV^-4,-0.685378,4.43438,3.69635,4.065365
50,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,40.5,2,deltad4SigLU,pb GeV^-4,-0.85397,5.52517,4.60559,5.06538
51,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,55.5,2,deltad4SigLU,pb GeV^-4,-0.83226,5.3847,4.48851,4.936605
52,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,70.5,2,deltad4SigLU,pb GeV^-4,-0.720721,4.66305,3.88696,4.275005
53,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,85.5,2,deltad4SigLU,pb GeV^-4,-0.586046,3.7917,3.16063,3.476165
54,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,100.5,2,deltad4SigLU,pb GeV^-4,-0.458388,2.96575,2.47216,2.718955
55,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,115.5,2,deltad4SigLU,pb GeV^-4,-0.347072,2.24555,1.87181,2.05868
56,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,130.5,2,deltad4SigLU,pb GeV^-4,-0.252254,1.63207,1.36044,1.496255
57,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,145.5,2,deltad4SigLU,pb GeV^-4,-0.170809,1.10513,0.921201,1.0131655
58,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,160.5,2,deltad4SigLU,pb GeV^-4,-0.0988028,0.639251,0.532858,0.5860545
59,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,175.5,2,deltad4SigLU,pb GeV^-4,-0.0323289,0.209167,0.174355,0.191761
60,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,190.5,2,deltad4SigLU,pb GeV^-4,0.0323289,0.209167,0.174355,0.191761
61,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,205.5,2,deltad4SigLU,pb GeV^-4,0.0988028,0.639251,0.532858,0.5860545
62,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,220.5,2,deltad4SigLU,pb GeV^-4,0.170809,1.10513,0.921201,1.0131655
63,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,235.5,2,deltad4SigLU,pb GeV^-4,0.252254,1.63207,1.36044,1.496255
64,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,250.5,2,deltad4SigLU,pb GeV^-4,0.347072,2.24555,1.87181,2.05868
65,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,265.5,2,deltad4SigLU,pb GeV^-4,0.458388,2.96575,2.47216,2.718955
66,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,280.5,2,deltad4SigLU,pb GeV^-4,0.586046,3.7917,3.16063,3.476165
67,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,295.5,2,deltad4SigLU,pb GeV^-4,0.720721,4.66305,3.88696,4.275005
68,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,310.5,2,deltad4SigLU,pb GeV^-4,0.83226,5.3847,4.48851,4.936605
69,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,325.5,2,deltad4SigLU,pb GeV^-4,0.85397,5.52517,4.60559,5.06538
70,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,340.5,2,deltad4SigLU,pb GeV^-4,0.685378,4.43438,3.69635,4.065365
71,5.757,0.939565422,e-,n,JLab E08-025,-0.323,1.9,0.36,deg,355.5,2,deltad4SigLU,pb GeV^-4,0.269969,1.74669,1.45599,1.60134
72,5.757,0.939565422,e-,n,JLab E08-025,-0.423,1.9,0.36,deg,10.5,3,deltad4SigLU,pb GeV^-4,0.112116,2.77599,2.36063,2.56831
73,5.757,0.939565422,e-,n,JLab E08-025,-0.423,1.9,0.36,deg,25.5,3,deltad4SigLU,pb GeV^-4,0.259192,6.41757,5.45734,5.937455
