,E_lepton,E_hadron,lepton,hadron,col,t,Q2,xB,phi,deg/rad,bin,obs,value,units,stat_u,Sys. Err. High,Sys. Err. Low,syst_u
0,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,15,deg,0,d4SigUU,68.1636,pb GeV^-4,19.0093,9.5191,21.7036,21.7036
1,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,45,deg,0,d4SigUU,31.2501,pb GeV^-4,5.98883,4.34178,5.86889,5.86889
2,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,75,deg,0,d4SigUU,14.2648,pb GeV^-4,3.29185,1.61093,1.83487,1.83487
3,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,105,deg,0,d4SigUU,12.4727,pb GeV^-4,2.80066,0.817896,0.988449,0.988449
4,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,135,deg,0,d4SigUU,9.62566,pb GeV^-4,2.09563,1.08953,1.4741,1.4741
5,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,165,deg,0,d4SigUU,14.6469,pb GeV^-4,2.6047,2.0109,2.11549,2.11549
6,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,195,deg,0,d4SigUU,12.3742,pb GeV^-4,2.55037,2.86675,2.15583,2.86675
7,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,225,deg,0,d4SigUU,10.7854,pb GeV^-4,2.63707,1.22311,0.938545,1.22311
8,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,255,deg,0,d4SigUU,13.4148,pb GeV^-4,2.76369,1.95531,2.38076,2.38076
9,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,285,deg,0,d4SigUU,21.3326,pb GeV^-4,3.90204,1.59028,1.72436,1.72436
10,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,315,deg,0,d4SigUU,48.3065,pb GeV^-4,7.72156,4.90248,7.28611,7.28611
11,4.45,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,345,deg,0,d4SigUU,45.5709,pb GeV^-4,15.7992,6.84131,17.1951,17.1951
12,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,15,deg,1,d4SigUU,41.4419,pb GeV^-4,11.9545,8.59576,12.6468,12.6468
13,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,45,deg,1,d4SigUU,47.4992,pb GeV^-4,7.91683,9.28477,10.3216,10.3216
14,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,75,deg,1,d4SigUU,34.9927,pb GeV^-4,5.18727,9.18119,9.24031,9.24031
15,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,105,deg,1,d4SigUU,17.1767,pb GeV^-4,3.5956,3.08339,3.37048,3.37048
16,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,135,deg,1,d4SigUU,13.7172,pb GeV^-4,3.58729,2.93011,2.77524,2.93011
17,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,165,deg,1,d4SigUU,16.0506,pb GeV^-4,3.70057,5.61028,5.23438,5.61028
18,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,195,deg,1,d4SigUU,13.1925,pb GeV^-4,3.4992,4.56939,4.02189,4.56939
19,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,225,deg,1,d4SigUU,22.8442,pb GeV^-4,4.34911,4.80797,4.90278,4.90278
20,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,255,deg,1,d4SigUU,23.0447,pb GeV^-4,4.40571,3.63621,3.85263,3.85263
21,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,285,deg,1,d4SigUU,34.9138,pb GeV^-4,5.00536,9.39325,9.32406,9.39325
22,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,315,deg,1,d4SigUU,47.4808,pb GeV^-4,8.13302,11.3832,12.1992,12.1992
23,4.45,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,345,deg,1,d4SigUU,92.6194,pb GeV^-4,18.4906,14.8286,24.0143,24.0143
24,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,15,deg,2,d4SigUU,76.1038,pb GeV^-4,19.084,24.4868,17.6779,24.4868
25,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,45,deg,2,d4SigUU,59.2178,pb GeV^-4,9.61466,13.7281,11.8959,13.7281
26,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,75,deg,2,d4SigUU,29.9204,pb GeV^-4,4.3817,8.91831,8.58588,8.91831
27,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,105,deg,2,d4SigUU,25.5005,pb GeV^-4,4.15173,5.24278,5.28131,5.28131
28,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,135,deg,2,d4SigUU,23.2834,pb GeV^-4,4.40583,2.82672,2.25981,2.82672
29,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,165,deg,2,d4SigUU,21.6616,pb GeV^-4,5.03911,4.74815,5.83736,5.83736
30,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,195,deg,2,d4SigUU,17.417,pb GeV^-4,4.03795,3.56239,4.23779,4.23779
31,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,225,deg,2,d4SigUU,16.8865,pb GeV^-4,4.00752,2.73255,2.22869,2.73255
32,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,255,deg,2,d4SigUU,21.6699,pb GeV^-4,4.07949,5.07473,5.02758,5.07473
33,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,285,deg,2,d4SigUU,39.5594,pb GeV^-4,5.11741,11.1025,11.1655,11.1655
34,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,315,deg,2,d4SigUU,50.1708,pb GeV^-4,8.86738,12.1782,10.5784,12.1782
