,Unnamed: 0,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0,0.363,-0.0442,3.17,7.5,deg,deltad4SigLU,0.00342,nb GeV^-4,0.002,+0.000220/-0.001000,Hall A,e-,7.38,p,0.93827208816
1,1,0.363,-0.0442,3.17,22.5,deg,deltad4SigLU,0.000989,nb GeV^-4,0.0018,+0.000610/-0.000740,Hall A,e-,7.38,p,0.93827208816
2,2,0.363,-0.0442,3.17,37.5,deg,deltad4SigLU,0.00615,nb GeV^-4,0.0017,+0.000480/-0.000510,Hall A,e-,7.38,p,0.93827208816
3,3,0.363,-0.0442,3.17,52.5,deg,deltad4SigLU,0.0036,nb GeV^-4,0.0017,+0.000840/-0.000250,Hall A,e-,7.38,p,0.93827208816
4,4,0.363,-0.0442,3.17,67.5,deg,deltad4SigLU,0.00604,nb GeV^-4,0.0016,+0.000290/-0.000610,Hall A,e-,7.38,p,0.93827208816
5,5,0.363,-0.0442,3.17,82.5,deg,deltad4SigLU,0.00423,nb GeV^-4,0.0015,+0.000620/-0.000230,Hall A,e-,7.38,p,0.93827208816
6,6,0.363,-0.0442,3.17,97.5,deg,deltad4SigLU,0.00971,nb GeV^-4,0.0014,+0.000460/-0.000810,Hall A,e-,7.38,p,0.93827208816
7,7,0.363,-0.0442,3.17,112.5,deg,deltad4SigLU,0.0049,nb GeV^-4,0.0012,+0.000220/-0.000360,Hall A,e-,7.38,p,0.93827208816
8,8,0.363,-0.0442,3.17,127.5,deg,deltad4SigLU,0.00559,nb GeV^-4,0.0012,+0.000560/-0.000230,Hall A,e-,7.38,p,0.93827208816
9,9,0.363,-0.0442,3.17,142.5,deg,deltad4SigLU,0.00324,nb GeV^-4,0.0012,+0.000530/-0.000460,Hall A,e-,7.38,p,0.93827208816
10,10,0.363,-0.0442,3.17,157.5,deg,deltad4SigLU,0.00069,nb GeV^-4,0.0012,+0.000400/-0.000460,Hall A,e-,7.38,p,0.93827208816
11,11,0.363,-0.0442,3.17,172.5,deg,deltad4SigLU,0.00236,nb GeV^-4,0.0012,+0.000520/-0.000340,Hall A,e-,7.38,p,0.93827208816
12,12,0.363,-0.0442,3.17,187.5,deg,deltad4SigLU,0.000113,nb GeV^-4,0.0011,+0.000160/-0.000710,Hall A,e-,7.38,p,0.93827208816
13,13,0.363,-0.0442,3.17,202.5,deg,deltad4SigLU,-0.00108,nb GeV^-4,0.0011,+0.000850/-0.000380,Hall A,e-,7.38,p,0.93827208816
14,14,0.363,-0.0442,3.17,217.5,deg,deltad4SigLU,-0.00305,nb GeV^-4,0.0012,+0.000390/-0.000630,Hall A,e-,7.38,p,0.93827208816
15,15,0.363,-0.0442,3.17,232.5,deg,deltad4SigLU,-0.00423,nb GeV^-4,0.0012,+0.000310/-0.000890,Hall A,e-,7.38,p,0.93827208816
16,16,0.363,-0.0442,3.17,247.5,deg,deltad4SigLU,-0.00502,nb GeV^-4,0.0013,+0.000860/-0.000490,Hall A,e-,7.38,p,0.93827208816
17,17,0.363,-0.0442,3.17,262.5,deg,deltad4SigLU,-0.00707,nb GeV^-4,0.0013,+0.000920/-0.000290,Hall A,e-,7.38,p,0.93827208816
18,18,0.363,-0.0442,3.17,277.5,deg,deltad4SigLU,-0.0061,nb GeV^-4,0.0014,+0.000520/-0.000440,Hall A,e-,7.38,p,0.93827208816
19,19,0.363,-0.0442,3.17,292.5,deg,deltad4SigLU,-0.00839,nb GeV^-4,0.0016,+0.000970/-0.000990,Hall A,e-,7.38,p,0.93827208816
20,20,0.363,-0.0442,3.17,307.5,deg,deltad4SigLU,-0.0079,nb GeV^-4,0.0016,+0.000730/-0.001500,Hall A,e-,7.38,p,0.93827208816
