,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0.363,-0.2108455417,3.17,7.5,deg,d4SigUU,0.0468,pb GeV^-4,0.0015,+0.001600/-0.001500,Hall A,e-,7.38,p,0.93827208816
1,0.363,-0.2108455417,3.17,22.5,deg,d4SigUU,0.043,pb GeV^-4,0.0015,+0.001400/-0.001500,Hall A,e-,7.38,p,0.93827208816
2,0.363,-0.2108455417,3.17,37.5,deg,d4SigUU,0.0412,pb GeV^-4,0.0014,+0.001300/-0.001500,Hall A,e-,7.38,p,0.93827208816
3,0.363,-0.2108455417,3.17,52.5,deg,d4SigUU,0.0369,pb GeV^-4,0.0013,+0.001500/-0.001200,Hall A,e-,7.38,p,0.93827208816
4,0.363,-0.2108455417,3.17,67.5,deg,d4SigUU,0.0353,pb GeV^-4,0.0012,+0.001100/-0.001100,Hall A,e-,7.38,p,0.93827208816
5,0.363,-0.2108455417,3.17,82.5,deg,d4SigUU,0.03,pb GeV^-4,0.0012,+0.001200/-0.000940,Hall A,e-,7.38,p,0.93827208816
6,0.363,-0.2108455417,3.17,97.5,deg,d4SigUU,0.027,pb GeV^-4,0.0011,+0.001100/-0.000890,Hall A,e-,7.38,p,0.93827208816
7,0.363,-0.2108455417,3.17,112.5,deg,d4SigUU,0.023,pb GeV^-4,0.00097,+0.000750/-0.000790,Hall A,e-,7.38,p,0.93827208816
8,0.363,-0.2108455417,3.17,127.5,deg,d4SigUU,0.0226,pb GeV^-4,0.00096,+0.001000/-0.000840,Hall A,e-,7.38,p,0.93827208816
9,0.363,-0.2108455417,3.17,142.5,deg,d4SigUU,0.0212,pb GeV^-4,0.00094,+0.000770/-0.000720,Hall A,e-,7.38,p,0.93827208816
10,0.363,-0.2108455417,3.17,157.5,deg,d4SigUU,0.0206,pb GeV^-4,0.00092,+0.000810/-0.000620,Hall A,e-,7.38,p,0.93827208816
11,0.363,-0.2108455417,3.17,172.5,deg,d4SigUU,0.0197,pb GeV^-4,0.00088,+0.000740/-0.000650,Hall A,e-,7.38,p,0.93827208816
12,0.363,-0.2108455417,3.17,187.5,deg,d4SigUU,0.0212,pb GeV^-4,0.00093,+0.000650/-0.000810,Hall A,e-,7.38,p,0.93827208816
13,0.363,-0.2108455417,3.17,202.5,deg,d4SigUU,0.021,pb GeV^-4,0.00093,+0.000670/-0.000720,Hall A,e-,7.38,p,0.93827208816
14,0.363,-0.2108455417,3.17,217.5,deg,d4SigUU,0.0206,pb GeV^-4,0.00093,+0.000630/-0.001000,Hall A,e-,7.38,p,0.93827208816
15,0.363,-0.2108455417,3.17,232.5,deg,d4SigUU,0.0206,pb GeV^-4,0.00094,+0.000680/-0.000700,Hall A,e-,7.38,p,0.93827208816
16,0.363,-0.2108455417,3.17,247.5,deg,d4SigUU,0.0246,pb GeV^-4,0.001,+0.000780/-0.000880,Hall A,e-,7.38,p,0.93827208816
17,0.363,-0.2108455417,3.17,262.5,deg,d4SigUU,0.0272,pb GeV^-4,0.0011,+0.001000/-0.000880,Hall A,e-,7.38,p,0.93827208816
18,0.363,-0.2108455417,3.17,277.5,deg,d4SigUU,0.0289,pb GeV^-4,0.0011,+0.001100/-0.000870,Hall A,e-,7.38,p,0.93827208816
19,0.363,-0.2108455417,3.17,292.5,deg,d4SigUU,0.0359,pb GeV^-4,0.0013,+0.001300/-0.001100,Hall A,e-,7.38,p,0.93827208816
20,0.363,-0.2108455417,3.17,307.5,deg,d4SigUU,0.0393,pb GeV^-4,0.0013,+0.001200/-0.001300,Hall A,e-,7.38,p,0.93827208816
21,0.363,-0.2108455417,3.17,322.5,deg,d4SigUU,0.0428,pb GeV^-4,0.0014,+0.001400/-0.001600,Hall A,e-,7.38,p,0.93827208816
22,0.363,-0.2108455417,3.17,337.5,deg,d4SigUU,0.0467,pb GeV^-4,0.0015,+0.001400/-0.001600,Hall A,e-,7.38,p,0.93827208816
23,0.363,-0.2108455417,3.17,352.5,deg,d4SigUU,0.0504,pb GeV^-4,0.0015,+0.001600/-0.001700,Hall A,e-,7.38,p,0.93827208816
24,0.363,-0.2966455417,3.17,7.5,deg,d4SigUU,0.0437,pb GeV^-4,0.0017,+0.001500/-0.001700,Hall A,e-,7.38,p,0.93827208816
25,0.363,-0.2966455417,3.17,22.5,deg,d4SigUU,0.0384,pb GeV^-4,0.0016,+0.001600/-0.001200,Hall A,e-,7.38,p,0.93827208816
26,0.363,-0.2966455417,3.17,37.5,deg,d4SigUU,0.0359,pb GeV^-4,0.0015,+0.001500/-0.001100,Hall A,e-,7.38,p,0.93827208816
27,0.363,-0.2966455417,3.17,52.5,deg,d4SigUU,0.0316,pb GeV^-4,0.0013,+0.001300/-0.001100,Hall A,e-,7.38,p,0.93827208816
