,xB,t,Q2,phi,deg/rad,obs,value,units,stat+syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0.102814,-0.149945,1.18516,0.0956332,deg,ALU,-0.00401505,none,0.0153526,CLAS,e-,10.6,p,0.93827208816
1,0.099858,-0.148208,1.18586,0.285004,deg,ALU,0.063576,none,0.0164779,CLAS,e-,10.6,p,0.93827208816
2,0.0947776,-0.15012,1.18194,0.470248,deg,ALU,0.0983536,none,0.0173404,CLAS,e-,10.6,p,0.93827208816
3,0.0888319,-0.151467,1.17988,0.657727,deg,ALU,0.145918,none,0.0168122,CLAS,e-,10.6,p,0.93827208816
4,0.0824138,-0.152116,1.17857,0.846992,deg,ALU,0.165289,none,0.0183801,CLAS,e-,10.6,p,0.93827208816
5,0.0782282,-0.150373,1.16788,1.02486,deg,ALU,0.226742,none,0.0220662,CLAS,e-,10.6,p,0.93827208816
6,0.0774572,-0.144887,1.15671,1.2117,deg,ALU,0.170445,none,0.0358811,CLAS,e-,10.6,p,0.93827208816
7,0.082693,-0.140749,1.1555,1.39714,deg,ALU,0.201054,none,0.0512921,CLAS,e-,10.6,p,0.93827208816
8,0.104445,-0.150041,1.15122,1.63923,deg,ALU,0.196896,none,0.0689447,CLAS,e-,10.6,p,0.93827208816
9,0.107031,-0.155099,1.19062,1.85155,deg,ALU,0.19516,none,0.0806462,CLAS,e-,10.6,p,0.93827208816
10,0.102218,-0.155653,1.1814,2.05259,deg,ALU,0.22057,none,0.058886,CLAS,e-,10.6,p,0.93827208816
11,0.101209,-0.160727,1.17967,2.23179,deg,ALU,0.102624,none,0.0593524,CLAS,e-,10.6,p,0.93827208816
12,0.100587,-0.163499,1.15607,2.42405,deg,ALU,0.153486,none,0.0460841,CLAS,e-,10.6,p,0.93827208816
13,0.0983155,-0.163251,1.15556,2.60851,deg,ALU,0.197954,none,0.0476778,CLAS,e-,10.6,p,0.93827208816
14,0.0985263,-0.165462,1.16136,2.79357,deg,ALU,0.0944589,none,0.0478898,CLAS,e-,10.6,p,0.93827208816
15,0.100614,-0.168255,1.16555,2.97903,deg,ALU,-0.000287466,none,0.0581132,CLAS,e-,10.6,p,0.93827208816
16,0.0976829,-0.16482,1.1525,3.16555,deg,ALU,0.051989,none,0.064546,CLAS,e-,10.6,p,0.93827208816
17,0.0992419,-0.16385,1.16772,3.36159,deg,ALU,-0.093807,none,0.0695206,CLAS,e-,10.6,p,0.93827208816
18,0.10016,-0.161178,1.17179,3.5479,deg,ALU,-0.00275131,none,0.0675397,CLAS,e-,10.6,p,0.93827208816
19,0.104059,-0.162129,1.16174,3.7336,deg,ALU,-0.181496,none,0.0858614,CLAS,e-,10.6,p,0.93827208816
20,0.10936,-0.162285,1.17603,4.02357,deg,ALU,-0.434516,none,0.101771,CLAS,e-,10.6,p,0.93827208816
21,0.0814467,-0.154093,1.14054,4.78751,deg,ALU,-0.396749,none,0.129083,CLAS,e-,10.6,p,0.93827208816
22,0.076309,-0.15134,1.15723,5.00972,deg,ALU,-0.138658,none,0.0578388,CLAS,e-,10.6,p,0.93827208816
23,0.0768801,-0.151423,1.15929,5.19377,deg,ALU,-0.209361,none,0.0319571,CLAS,e-,10.6,p,0.93827208816
24,0.0807721,-0.152208,1.1773,5.37697,deg,ALU,-0.21347,none,0.0210983,CLAS,e-,10.6,p,0.93827208816
25,0.0864401,-0.152337,1.182,5.56123,deg,ALU,-0.153312,none,0.0188983,CLAS,e-,10.6,p,0.93827208816
26,0.0924334,-0.151478,1.18075,5.7458,deg,ALU,-0.0964044,none,0.017923,CLAS,e-,10.6,p,0.93827208816
27,0.0980345,-0.15162,1.18546,5.9331,deg,ALU,-0.152948,none,0.0189522,CLAS,e-,10.6,p,0.93827208816
28,0.10224,-0.149888,1.18639,6.15683,deg,ALU,-0.0428874,none,0.0157058,CLAS,e-,10.6,p,0.93827208816
29,0.172113,-0.16118,1.17135,0.0968203,deg,ALU,0.00788785,none,0.0404457,CLAS,e-,10.6,p,0.93827208816
30,0.170861,-0.161934,1.17569,0.280193,deg,ALU,0.111085,none,0.0357623,CLAS,e-,10.6,p,0.93827208816
31,0.167539,-0.154625,1.20466,0.465177,deg,ALU,0.13975,none,0.041485,CLAS,e-,10.6,p,0.93827208816
