,xB,t,Q2,phi,bin,deg/rad,obs,value,stat_u,syst_u,units,col,lepton,E_lepton,hadron,E_hadron
0,0.127791,-0.399298,1.60996,26.9011,0,deg,ALU,0.0129924,0.0136986,0.00732952,none,CLAS,e-,5.932,n,0.938
1,0.113476,-0.281453,1.59661,71.9517,0,deg,ALU,0.0549768,0.0199304,0.0165577,none,CLAS,e-,5.932,n,0.938
2,0.171955,-0.411151,1.63804,129.894,0,deg,ALU,0.0311117,0.0430537,0.0106868,none,CLAS,e-,5.932,n,0.938
3,0.180493,-0.505593,1.64577,177.599,0,deg,ALU,0.00258181,0.0506054,0.00342626,none,CLAS,e-,5.932,n,0.938
4,0.170296,-0.409475,1.63385,230.649,0,deg,ALU,0.00121812,0.054365,0.0129061,none,CLAS,e-,5.932,n,0.938
5,0.112861,-0.308094,1.58579,289.375,0,deg,ALU,-0.0269679,0.021877,0.00915246,none,CLAS,e-,5.932,n,0.938
6,0.12786,-0.403268,1.61054,331.743,0,deg,ALU,-0.0323581,0.0144779,0.0110608,none,CLAS,e-,5.932,n,0.938
7,0.17519,-0.400756,2.32763,26.0951,1,deg,ALU,0.032576,0.0123729,0.0069708,none,CLAS,e-,5.932,n,0.938
8,0.175037,-0.320296,2.32203,71.1161,1,deg,ALU,0.0444287,0.02092,0.0120084,none,CLAS,e-,5.932,n,0.938
9,0.266502,-0.606704,2.34501,130.019,1,deg,ALU,0.0359422,0.0440037,0.0110415,none,CLAS,e-,5.932,n,0.938
10,0.256528,-0.619464,2.35765,178.386,1,deg,ALU,-0.00858886,0.0459189,0.00626969,none,CLAS,e-,5.932,n,0.938
11,0.26005,-0.600834,2.36054,230.878,1,deg,ALU,-0.0610168,0.0486971,0.00686374,none,CLAS,e-,5.932,n,0.938
12,0.169863,-0.344254,2.3312,289.38,1,deg,ALU,-0.0313887,0.0229532,0.0111883,none,CLAS,e-,5.932,n,0.938
13,0.174655,-0.405209,2.32678,333.123,1,deg,ALU,-0.012897,0.0131454,0.00658088,none,CLAS,e-,5.932,n,0.938
14,0.260332,-0.471153,3.78888,25.1936,2,deg,ALU,0.0341741,0.0158753,0.00825815,none,CLAS,e-,5.932,n,0.938
15,0.3216,-0.571534,3.99901,74.4928,2,deg,ALU,0.0291453,0.033552,0.00872318,none,CLAS,e-,5.932,n,0.938
16,0.391376,-0.816081,4.10106,129.966,2,deg,ALU,0.06508,0.0534012,0.0105105,none,CLAS,e-,5.932,n,0.938
17,0.365174,-0.831158,4.0382,177.878,2,deg,ALU,-0.00559244,0.0550406,0.0117411,none,CLAS,e-,5.932,n,0.938
18,0.386461,-0.842419,4.00422,230.905,2,deg,ALU,-0.112338,0.0644363,0.0111901,none,CLAS,e-,5.932,n,0.938
19,0.302899,-0.537446,3.86794,286.649,2,deg,ALU,-0.0346924,0.0367964,0.0094769,none,CLAS,e-,5.932,n,0.938
20,0.261032,-0.467643,3.80832,334.872,2,deg,ALU,-0.0248159,0.0169401,0.00778486,none,CLAS,e-,5.932,n,0.938
21,0.207744,-0.729308,2.65165,24.0588,3,deg,ALU,0.0224644,0.0145705,0.00758752,none,CLAS,e-,5.932,n,0.938
22,0.342792,-0.878197,3.49601,77.0596,3,deg,ALU,0.0596181,0.0415284,0.010128,none,CLAS,e-,5.932,n,0.938
23,0.361404,-0.970013,3.19165,131.176,3,deg,ALU,0.0508091,0.0564163,0.0107436,none,CLAS,e-,5.932,n,0.938
24,0.315143,-0.950014,2.97219,177.741,3,deg,ALU,-0.00527511,0.0471656,0.00400287,none,CLAS,e-,5.932,n,0.938
