,xB,t,Q2,phi,bin,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0.125,-0.108,1.129,67.2,0,deg,d4SigUU,4.8336,nb GeV^-4,0.331067,0.869408,CLAS,e-,5.88,p,0.938272088
1,0.124,-0.108,1.128,82.1,0,deg,d4SigUU,4.48089,nb GeV^-4,0.230636,0.26792,CLAS,e-,5.88,p,0.938272088
2,0.124,-0.108,1.128,97.1,0,deg,d4SigUU,3.67356,nb GeV^-4,0.19945,0.259276,CLAS,e-,5.88,p,0.938272088
3,0.124,-0.108,1.128,112.2,0,deg,d4SigUU,2.72219,nb GeV^-4,0.174966,0.288682,CLAS,e-,5.88,p,0.938272088
4,0.124,-0.108,1.129,127.3,0,deg,d4SigUU,2.60113,nb GeV^-4,0.188421,0.235225,CLAS,e-,5.88,p,0.938272088
5,0.124,-0.108,1.129,142.3,0,deg,d4SigUU,2.22732,nb GeV^-4,0.139138,0.165856,CLAS,e-,5.88,p,0.938272088
6,0.124,-0.108,1.129,157.4,0,deg,d4SigUU,2.54805,nb GeV^-4,0.174241,0.194695,CLAS,e-,5.88,p,0.938272088
7,0.124,-0.108,1.129,172.5,0,deg,d4SigUU,2.01117,nb GeV^-4,0.173697,0.123878,CLAS,e-,5.88,p,0.938272088
8,0.124,-0.108,1.129,187.5,0,deg,d4SigUU,1.66588,nb GeV^-4,0.128305,0.11428,CLAS,e-,5.88,p,0.938272088
9,0.124,-0.108,1.129,202.6,0,deg,d4SigUU,1.86272,nb GeV^-4,0.124161,0.132976,CLAS,e-,5.88,p,0.938272088
10,0.124,-0.108,1.129,217.7,0,deg,d4SigUU,2.34963,nb GeV^-4,0.151554,0.226496,CLAS,e-,5.88,p,0.938272088
11,0.124,-0.108,1.129,232.7,0,deg,d4SigUU,2.44595,nb GeV^-4,0.187047,0.175893,CLAS,e-,5.88,p,0.938272088
12,0.124,-0.108,1.128,247.8,0,deg,d4SigUU,2.6125,nb GeV^-4,0.158756,0.175341,CLAS,e-,5.88,p,0.938272088
13,0.124,-0.108,1.128,262.9,0,deg,d4SigUU,3.55218,nb GeV^-4,0.177906,0.242733,CLAS,e-,5.88,p,0.938272088
14,0.124,-0.108,1.128,277.9,0,deg,d4SigUU,4.96439,nb GeV^-4,0.23777,0.338018,CLAS,e-,5.88,p,0.938272088
15,0.125,-0.108,1.129,292.8,0,deg,d4SigUU,6.39821,nb GeV^-4,0.4466,0.580949,CLAS,e-,5.88,p,0.938272088
16,0.124,-0.153,1.128,66.9,1,deg,d4SigUU,3.80592,nb GeV^-4,0.219598,0.240585,CLAS,e-,5.88,p,0.938272088
17,0.124,-0.153,1.129,82,1,deg,d4SigUU,2.63145,nb GeV^-4,0.122765,0.165785,CLAS,e-,5.88,p,0.938272088
18,0.124,-0.152,1.129,97.1,1,deg,d4SigUU,1.75876,nb GeV^-4,0.081886,0.131429,CLAS,e-,5.88,p,0.938272088
19,0.125,-0.152,1.129,112.2,1,deg,d4SigUU,1.42657,nb GeV^-4,0.0803615,0.0981944,CLAS,e-,5.88,p,0.938272088
20,0.125,-0.152,1.129,127.3,1,deg,d4SigUU,1.24548,nb GeV^-4,0.0820918,0.202015,CLAS,e-,5.88,p,0.938272088
21,0.124,-0.152,1.13,142.3,1,deg,d4SigUU,1.12764,nb GeV^-4,0.0663176,0.0780655,CLAS,e-,5.88,p,0.938272088
22,0.124,-0.152,1.13,157.4,1,deg,d4SigUU,1.19873,nb GeV^-4,0.0720936,0.0906194,CLAS,e-,5.88,p,0.938272088
23,0.124,-0.152,1.13,172.5,1,deg,d4SigUU,0.963089,nb GeV^-4,0.0669704,0.0692636,CLAS,e-,5.88,p,0.938272088
