,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0.125,-0.108,1.129,67.2,deg,deltad4SigLU,0.758345,nb GeV^-4,0.257278,0.456081,CLAS,e-,5.88,p,0.93827208816
1,0.124,-0.108,1.128,82.1,deg,deltad4SigLU,0.395578,nb GeV^-4,0.172215,0.0775448,CLAS,e-,5.88,p,0.93827208816
2,0.124,-0.108,1.128,97.1,deg,deltad4SigLU,0.838923,nb GeV^-4,0.151479,0.107701,CLAS,e-,5.88,p,0.93827208816
3,0.124,-0.108,1.128,112.2,deg,deltad4SigLU,0.199179,nb GeV^-4,0.131733,0.0594735,CLAS,e-,5.88,p,0.93827208816
4,0.124,-0.108,1.129,127.3,deg,deltad4SigLU,0.0267859,nb GeV^-4,0.141649,0.089167,CLAS,e-,5.88,p,0.93827208816
5,0.124,-0.108,1.129,142.3,deg,deltad4SigLU,0.306326,nb GeV^-4,0.104793,0.0393211,CLAS,e-,5.88,p,0.93827208816
6,0.124,-0.108,1.129,157.4,deg,deltad4SigLU,0.262004,nb GeV^-4,0.129722,0.0413562,CLAS,e-,5.88,p,0.93827208816
7,0.124,-0.108,1.129,172.5,deg,deltad4SigLU,0.211324,nb GeV^-4,0.132531,0.0426463,CLAS,e-,5.88,p,0.93827208816
8,0.124,-0.108,1.129,187.5,deg,deltad4SigLU,0.021427,nb GeV^-4,0.0971215,0.020927,CLAS,e-,5.88,p,0.93827208816
9,0.124,-0.108,1.129,202.6,deg,deltad4SigLU,-0.174743,nb GeV^-4,0.0939731,0.0245524,CLAS,e-,5.88,p,0.93827208816
10,0.124,-0.108,1.129,217.7,deg,deltad4SigLU,-0.241364,nb GeV^-4,0.114368,0.123239,CLAS,e-,5.88,p,0.93827208816
11,0.124,-0.108,1.129,232.7,deg,deltad4SigLU,-0.257499,nb GeV^-4,0.142522,0.144474,CLAS,e-,5.88,p,0.93827208816
12,0.124,-0.108,1.128,247.8,deg,deltad4SigLU,-0.309317,nb GeV^-4,0.119789,0.0749128,CLAS,e-,5.88,p,0.93827208816
13,0.124,-0.108,1.128,262.9,deg,deltad4SigLU,-0.622821,nb GeV^-4,0.133366,0.0826876,CLAS,e-,5.88,p,0.93827208816
14,0.124,-0.108,1.128,277.9,deg,deltad4SigLU,-0.681078,nb GeV^-4,0.176323,0.0693894,CLAS,e-,5.88,p,0.93827208816
15,0.125,-0.108,1.129,292.8,deg,deltad4SigLU,0.107549,nb GeV^-4,0.336212,0.219587,CLAS,e-,5.88,p,0.93827208816
16,0.124,-0.153,1.128,66.9,deg,deltad4SigLU,1.06525,nb GeV^-4,0.170629,0.220958,CLAS,e-,5.88,p,0.93827208816
17,0.124,-0.153,1.129,82.0,deg,deltad4SigLU,0.351715,nb GeV^-4,0.0919505,0.0661009,CLAS,e-,5.88,p,0.93827208816
18,0.124,-0.152,1.129,97.1,deg,deltad4SigLU,0.552447,nb GeV^-4,0.0640839,0.0523904,CLAS,e-,5.88,p,0.93827208816
19,0.125,-0.152,1.129,112.2,deg,deltad4SigLU,0.180936,nb GeV^-4,0.0612163,0.0365832,CLAS,e-,5.88,p,0.93827208816
20,0.125,-0.152,1.129,127.3,deg,deltad4SigLU,0.210245,nb GeV^-4,0.0636223,0.0714662,CLAS,e-,5.88,p,0.93827208816
21,0.124,-0.152,1.13,142.3,deg,deltad4SigLU,0.0682372,nb GeV^-4,0.0500987,0.0139899,CLAS,e-,5.88,p,0.93827208816
22,0.124,-0.152,1.13,157.4,deg,deltad4SigLU,0.0529742,nb GeV^-4,0.0540585,0.012694,CLAS,e-,5.88,p,0.93827208816
23,0.124,-0.152,1.13,172.5,deg,deltad4SigLU,0.116997,nb GeV^-4,0.0513372,0.0241511,CLAS,e-,5.88,p,0.93827208816
24,0.124,-0.152,1.13,187.5,deg,deltad4SigLU,0.067353,nb GeV^-4,0.0751447,0.0710007,CLAS,e-,5.88,p,0.93827208816
25,0.124,-0.152,1.13,202.6,deg,deltad4SigLU,-0.0774474,nb GeV^-4,0.0511901,0.0197149,CLAS,e-,5.88,p,0.93827208816
26,0.124,-0.152,1.13,217.7,deg,deltad4SigLU,-0.0832754,nb GeV^-4,0.0437991,0.0331682,CLAS,e-,5.88,p,0.93827208816
27,0.125,-0.152,1.129,232.7,deg,deltad4SigLU,-0.10155,nb GeV^-4,0.0700132,0.024361,CLAS,e-,5.88,p,0.93827208816
28,0.125,-0.152,1.129,247.8,deg,deltad4SigLU,-0.290883,nb GeV^-4,0.0774344,0.033072,CLAS,e-,5.88,p,0.93827208816
29,0.124,-0.152,1.129,262.9,deg,deltad4SigLU,-0.219917,nb GeV^-4,0.0594524,0.0538194,CLAS,e-,5.88,p,0.93827208816
30,0.124,-0.153,1.129,278.0,deg,deltad4SigLU,-0.458991,nb GeV^-4,0.0819161,0.0361895,CLAS,e-,5.88,p,0.93827208816
31,0.124,-0.153,1.128,293.1,deg,deltad4SigLU,-0.4769,nb GeV^-4,0.150652,0.102639,CLAS,e-,5.88,p,0.93827208816
32,0.125,-0.203,1.129,66.9,deg,deltad4SigLU,0.143307,nb GeV^-4,0.0986694,0.0561343,CLAS,e-,5.88,p,0.93827208816
33,0.125,-0.203,1.129,82.0,deg,deltad4SigLU,0.184084,nb GeV^-4,0.0829563,0.0133001,CLAS,e-,5.88,p,0.93827208816
34,0.125,-0.203,1.129,97.1,deg,deltad4SigLU,0.166507,nb GeV^-4,0.04641,0.0263816,CLAS,e-,5.88,p,0.93827208816
35,0.125,-0.203,1.13,112.2,deg,deltad4SigLU,0.207083,nb GeV^-4,0.0591291,0.0168452,CLAS,e-,5.88,p,0.93827208816
36,0.125,-0.203,1.13,127.3,deg,deltad4SigLU,0.0924479,nb GeV^-4,0.0587602,0.0202766,CLAS,e-,5.88,p,0.93827208816
37,0.125,-0.203,1.13,142.3,deg,deltad4SigLU,0.0272374,nb GeV^-4,0.0513139,0.012208,CLAS,e-,5.88,p,0.93827208816
38,0.125,-0.203,1.13,172.5,deg,deltad4SigLU,-0.0282117,nb GeV^-4,0.0557704,0.0348893,CLAS,e-,5.88,p,0.93827208816
39,0.125,-0.203,1.13,187.5,deg,deltad4SigLU,-0.0336179,nb GeV^-4,0.046947,0.0224928,CLAS,e-,5.88,p,0.93827208816
40,0.125,-0.203,1.13,202.6,deg,deltad4SigLU,-0.0120838,nb GeV^-4,0.0361743,0.0170531,CLAS,e-,5.88,p,0.93827208816
41,0.125,-0.203,1.13,217.7,deg,deltad4SigLU,-0.13863,nb GeV^-4,0.0441595,0.0259042,CLAS,e-,5.88,p,0.93827208816
