xB,t,Q2,phi,deg/rad,bin,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0.072,-0.13,1.091,157.5,deg,0,d4SigUU,2.9603,nb GeV^-4,0.55649,1.046,CLAS,e-,10.6,p,0.938272088
0.072,-0.13,1.091,180,deg,0,d4SigUU,2.59,nb GeV^-4,0.594,0.92896,CLAS,e-,10.6,p,0.938272088
0.069,-0.207,1.093,127.3,deg,1,d4SigUU,2.1964,nb GeV^-4,0.42593,0.88295,CLAS,e-,10.6,p,0.938272088
0.069,-0.207,1.093,142.4,deg,1,d4SigUU,1.9759,nb GeV^-4,0.20282,0.72367,CLAS,e-,10.6,p,0.938272088
0.069,-0.207,1.093,157.4,deg,1,d4SigUU,1.8605,nb GeV^-4,0.18079,0.61415,CLAS,e-,10.6,p,0.938272088
0.069,-0.207,1.093,172.5,deg,1,d4SigUU,1.4732,nb GeV^-4,0.19797,0.53652,CLAS,e-,10.6,p,0.938272088
0.069,-0.207,1.093,195.2,deg,1,d4SigUU,1.4365,nb GeV^-4,0.2942,0.53822,CLAS,e-,10.6,p,0.938272088
0.076,-0.314,1.094,127.3,deg,2,d4SigUU,0.51597,nb GeV^-4,0.12426,0.20529,CLAS,e-,10.6,p,0.938272088
0.076,-0.314,1.094,142.4,deg,2,d4SigUU,0.51082,nb GeV^-4,0.060398,0.20564,CLAS,e-,10.6,p,0.938272088
0.076,-0.314,1.094,157.4,deg,2,d4SigUU,0.48294,nb GeV^-4,0.05002,0.15778,CLAS,e-,10.6,p,0.938272088
0.076,-0.314,1.094,172.4,deg,2,d4SigUU,0.4339,nb GeV^-4,0.057467,0.14405,CLAS,e-,10.6,p,0.938272088
0.076,-0.314,1.094,195.2,deg,2,d4SigUU,0.28917,nb GeV^-4,0.073241,0.10933,CLAS,e-,10.6,p,0.938272088
0.076,-0.314,1.094,256.2,deg,2,d4SigUU,0.73251,nb GeV^-4,0.11444,0.2698,CLAS,e-,10.6,p,0.938272088
0.084,-0.446,1.085,36.5,deg,3,d4SigUU,1.485,nb GeV^-4,0.16671,0.61838,CLAS,e-,10.6,p,0.938272088
0.084,-0.446,1.085,134.4,deg,3,d4SigUU,0.16014,nb GeV^-4,0.030119,0.060949,CLAS,e-,10.6,p,0.938272088
0.084,-0.446,1.085,172.2,deg,3,d4SigUU,0.14514,nb GeV^-4,0.017621,0.049679,CLAS,e-,10.6,p,0.938272088
0.084,-0.446,1.085,240.9,deg,3,d4SigUU,0.17433,nb GeV^-4,0.044043,0.081111,CLAS,e-,10.6,p,0.938272088
0.084,-0.446,1.085,262.8,deg,3,d4SigUU,0.27809,nb GeV^-4,0.04542,0.093736,CLAS,e-,10.6,p,0.938272088
0.084,-0.446,1.085,287.1,deg,3,d4SigUU,0.41448,nb GeV^-4,0.059728,0.18674,CLAS,e-,10.6,p,0.938272088
0.084,-0.446,1.085,308.2,deg,3,d4SigUU,0.63601,nb GeV^-4,0.10583,0.25852,CLAS,e-,10.6,p,0.938272088
0.084,-0.446,1.085,323.5,deg,3,d4SigUU,1.5314,nb GeV^-4,0.16772,0.71416,CLAS,e-,10.6,p,0.938272088
0.079,-0.681,1.086,6.7,deg,4,d4SigUU,3.4177,nb GeV^-4,0.76755,1.5084,CLAS,e-,10.6,p,0.938272088
0.079,-0.681,1.086,21.5,deg,4,d4SigUU,1.2507,nb GeV^-4,0.24522,0.4606,CLAS,e-,10.6,p,0.938272088
0.079,-0.681,1.086,36.6,deg,4,d4SigUU,0.695,nb GeV^-4,0.081253,0.27085,CLAS,e-,10.6,p,0.938272088
0.079,-0.681,1.086,62.3,deg,4,d4SigUU,0.18582,nb GeV^-4,0.034052,0.066363,CLAS,e-,10.6,p,0.938272088
0.079,-0.681,1.086,149.7,deg,4,d4SigUU,0.055755,nb GeV^-4,0.014861,0.020739,CLAS,e-,10.6,p,0.938272088
0.079,-0.681,1.086,180,deg,4,d4SigUU,0.056282,nb GeV^-4,0.01688,0.021833,CLAS,e-,10.6,p,0.938272088
0.079,-0.681,1.086,240.8,deg,4,d4SigUU,0.11514,nb GeV^-4,0.031141,0.044223,CLAS,e-,10.6,p,0.938272088
0.079,-0.681,1.086,271.5,deg,4,d4SigUU,0.10618,nb GeV^-4,0.023791,0.03869,CLAS,e-,10.6,p,0.938272088
0.079,-0.681,1.086,318.2,deg,4,d4SigUU,0.38925,nb GeV^-4,0.047491,0.14623,CLAS,e-,10.6,p,0.938272088
0.079,-0.681,1.086,338.5,deg,4,d4SigUU,1.3213,nb GeV^-4,0.22727,0.64976,CLAS,e-,10.6,p,0.938272088
0.079,-0.681,1.086,353.2,deg,4,d4SigUU,2.9456,nb GeV^-4,0.68152,1.3447,CLAS,e-,10.6,p,0.938272088
0.079,-0.215,1.296,119.1,deg,5,d4SigUU,1.1718,nb GeV^-4,0.22885,0.38794,CLAS,e-,10.6,p,0.938272088
0.079,-0.215,1.296,142.4,deg,5,d4SigUU,1.085,nb GeV^-4,0.15037,0.3629,CLAS,e-,10.6,p,0.938272088
0.079,-0.215,1.296,157.4,deg,5,d4SigUU,0.88152,nb GeV^-4,0.11847,0.29173,CLAS,e-,10.6,p,0.938272088
